year,month,day,date,date_start,date_end,location,count,count_type,method,age_class,pct_juvenile,sample_size,activity,direction,banding_new,banding_recapture,band_recoveries,source_page,ocr_confidence,notes
1964,10,12,1964-10-12,,,Operl Island,626,census,telescope,mixed,,626,staging,,,,,17,medium,"Age-ratio: Adult=442, Juv=184"
1964,10,13,1964-10-13,,,Operl Island,122,census,telescope,mixed,,122,staging,,,,,17,medium,"Age-ratio: Adult=96, Juv=26"
1964,10,,,1964-10-09,1964-10-13,Operl Island,1419,census,telescope,mixed,29.38,1419,staging,,,,,17,high,"Operl Island subtotal: Adult=1002, Juv=417, %Juv=29.38"
1964,10,15,1964-10-15,,,Middle Lagoon (Morshovoi Bay),358,census,telescope,mixed,,358,staging,,,,,17,medium,"Age-ratio: Adult=217, Juv=141"
1964,10,22,1964-10-22,,,Round Island,2132,census,telescope,mixed,29.97,2132,staging,,,,,17,high,"Age-ratio: Adult=1493, Juv=639, %Juv=29.97. Math verified."
1964,10,22,1964-10-22,,,Applegate Cove,1361,census,telescope,mixed,25.28,1361,staging,,,,,17,medium,"Age-ratio: Adult=1017, Juv=344(est), %Juv=25.28. Math verified."
1964,10,23,1964-10-23,,,Round Island,440,census,telescope,mixed,,440,staging,,,,,17,medium,"Age-ratio: Adult=275, Juv=165"
1964,10,23,1964-10-23,,,Applegate Cove,2618,census,telescope,mixed,31.48,2618,staging,,,,,17,medium,"Age-ratio: Adult=1660, Juv=958(est). Total uncertain; could be 2618 or 2114."
1964,10,27,1964-10-27,,,Half Way Pt.,3337,census,telescope,mixed,35.09,3337,staging,,,,,17,medium,"Age-ratio: Adult=2146, Juv=1171(est). Day of major outbound migration departure."
1964,10,27,1964-10-27,,,Applegate Cove,1053,census,telescope,mixed,33.05,1053,staging,,,,,17,medium,"Age-ratio: Adult=705, Juv=348. Math verified."
1964,10,27,1964-10-27,,,Izembek Bay,,observation,visual_estimate,mixed,,,migrating,departing,,,,9,high,"Major outbound departure: 'The first great flocks lifted from the Bay about 10 on the morning of October 27, climbed for elevation and this time did not return.' Weather chart on page 9 shows pressure pattern."
1964,11,2,1964-11-02,,,Half Way Pt.,906,census,telescope,mixed,12.8,906,staging,,,,,17,high,"Age-ratio: Adult=790, Juv=116, %Juv=12.80"
1964,11,5,1964-11-05,,,Applegate Cove,551,census,telescope,mixed,10.7,551,staging,,,,,17,high,"Age-ratio: Adult=492, Juv=59, %Juv=10.70"
1964,11,5,1964-11-05,,,Half Way Pt.,511,census,telescope,mixed,28.4,511,staging,,,,,17,medium,"Age-ratio: Adult=366, Juv=145, %Juv=28.40. High juv% on same day as low juv% at Applegate Cove - spatial variation."
1964,11,9,1964-11-09,,,Applegate Cove,249,census,telescope,mixed,,249,staging,,,,,17,medium,"Age-ratio: Adult=209, Juv=40"
1964,11,9,1964-11-09,,,Outer Marker,9,census,telescope,mixed,,9,staging,,,,,17,high,"Age-ratio: Adult=4, Juv=5. Very small sample."
1964,11,13,1964-11-13,,,Half Way Pt.,77,census,telescope,mixed,,77,staging,,,,,17,high,"Age-ratio: Adult=54, Juv=23. Last census count of the season."
1964,,,,1964-09-17,1964-11-13,All stations,19688,census,telescope,mixed,26.01,19688,staging,,,,,17,high,"Grand total age-ratio sample: Adult=14,548, Juv=5,122, Total=19,688, %Juv=26.01. Note: sum 14548+5122=19670, report says 19688 (discrepancy of 18, likely minor transcription variance)."
1964,,,,1964-09-25,1964-10-27,All stations,15176,census,telescope,mixed,29.23,15176,staging,,,,,18,medium,"Representative period subset: 'Sept 25th through October 27th, both dates inclusive.' Adult=10,777, Juv=4,152(est), Total=15,176(est), %Juv=29.23(est). Jones considers this the best estimate of population juvenile percentage."
1964,,,,1964-09-01,1964-11-30,Izembek Range,200000,estimate,visual_estimate,mixed,,,staging,,,,,16,medium,"Overall population estimate: 'a population of about 200,000 birds'. Based on density counts and range coverage."
1964,7,10,1964-07-10,,,Clarence Rhode Range,2064,banding_total,ground,mixed,2.3,2064,nesting,,,,,17,high,Banding sample from nesting grounds: 2064 nesting brant captured July 10th. Only 2.3% were juveniles (vs 23% in entire population for 1963). Suggests substantial accretions from other nesting grounds.
