SKN,Name,Lat_DD,Lon_DD,ElevFT,Observer,MinYear,MaxYear,NumMosWithAvg,JanAvgIN,FebAvgIN,MarAvgIN,AprAvgIN,MayAvgIN,JunAvgIN,JulAvgIN,AugAvgIN,SepAvgIN,OctAvgIN,NovAvgIN,DecAvgIN,AnnAvgIN,DataSources,StationStatus
941.1,Mahaulepu,21.90102957,-159.422207,80,GROVE FARM,1905,Present,10,4.978666667,3.803333333,4.985,3.527666667,-9999,-9999,3.071666667,2.977333333,2.893,4.034,5.163,5.79,-9999,"Fill, NCDC, State, State/NCDC",Current
942,Kaunalewa,21.99186887,-159.7388783,10,KEKAHA SUGAR,1946,1993,12,2.923,2.261,2.418333333,0.853333333,1.158,0.402,0.542,0.697333333,1.041333333,2.486,2.831333333,3.696666667,21.31033333,"Fill, State",Discontinued
943,Waiawa,21.97186761,-159.7205458,10,KEKAHA SUGAR,1894,2000,4,2.976666667,2.167333333,-9999,-9999,-9999,-9999,-9999,-9999,0.815666667,-9999,2.678,-9999,-9999,"Fill, NCDC, State/NCDC",Discontinued
944,Kekaha,21.96686688,-159.7088793,10,KEKAHA SUGAR,1889,2000,5,-9999,2.051666667,-9999,-9999,1.015,0.383,-9999,0.553,-9999,-9999,-9999,3.808666667,-9999,"Fill, NCDC, State/NCDC",Discontinued
945,Hukipo,21.98158848,-159.6822116,800,KEKAHA SUGAR,1940,2000,12,3.658666667,2.434,2.825,0.974666667,1.349032951,0.389666667,0.617278507,0.924,1.257,3.029333333,2.864333333,4.163333333,24.48631146,"Fill, NCDC, NRFill, State/NCDC",Discontinued
947,Waimea,21.95631113,-159.6722122,20,KEKAHA SUGAR,1913,Present,12,2.955,2.054285714,2.487931034,0.845,1.14862069,0.487,0.513,0.632068966,0.895925926,2.715185185,2.514827586,3.659333333,20.90817843,"Fill, NCDC, State/NCDC",Current
950,Waikaia,21.96353374,-159.6488777,250,GAY & ROBINSON,1948,1972,9,3.328666667,2.375333333,3.228,-9999,1.189333333,-9999,-9999,0.838,1.039666667,3.101,2.953333333,3.676,-9999,"Fill, State",Discontinued
950.1,Camp 7 Makaweli,21.95520068,-159.648878,150,HAWAIIAN SUGAR,1904,1938,2,-9999,-9999,-9999,1.115,-9999,0.496333333,-9999,-9999,-9999,-9999,-9999,-9999,-9999,"Fill, State",Discontinued
951,Pakala,21.93322,-159.64745,30,GAY & ROBINSON,1948,1972,12,3.407,2.186666667,2.703333333,1.061,1.088666667,0.460666667,0.554666667,0.859,1.097,2.781,2.941333333,3.523666667,22.664,"Fill, State",Discontinued
952,Nonopahu,21.97686671,-159.6313763,800,GAY & ROBINSON,1948,1972,8,-9999,2.867,3.266666667,1.091333333,1.186333333,0.583666667,0.769666667,-9999,1.298,-9999,3.057,-9999,-9999,"Fill, NRFill, State",Discontinued
952.1,Powerhse Camp 9,21.99019943,-159.6205418,945,HAWAIIAN SUGAR,1925,1938,6,-9999,3.162305651,3.437886905,-9999,-9999,1.586508806,1.702385294,1.518740189,-9999,-9999,3.355370445,-9999,-9999,"NRFill, State",Discontinued
952.2,Camp 8 Makaweli,21.97520015,-159.6288763,850,HAWAIIAN SUGAR,1918,1938,8,3.559666667,2.817666667,-9999,1.284333333,-9999,0.626333333,-9999,1.104666667,-9999,3.498,3.037,4.225333333,-9999,"Fill, State",Discontinued
953,Kaawanui,21.9496457,-159.6255436,400,GAY & ROBINSON,1948,1972,9,-9999,2.553333333,3.108333333,1.232333333,1.235,0.585666667,-9999,0.792333333,1.323,3.042333333,3.421666667,-9999,-9999,"Fill, State",Discontinued
953.1,Camp 6 Makaweli,21.94520143,-159.6238771,370,HAWAIIAN SUGAR,1918,1938,6,-9999,2.328666667,-9999,-9999,-9999,0.751,0.650666667,0.681666667,-9999,2.769,-9999,4.188333333,-9999,"Fill, State",Discontinued
954,Nonopahu 6,21.99964343,-159.6233195,1030,GAY & ROBINSON,1948,1953,10,5.45556928,3.890383931,5.163491176,1.926416574,1.83126794,-9999,-9999,1.744837946,1.653055644,3.650527866,5.370711325,5.319393699,-9999,"NRFill, State",Discontinued
955,Aaka,21.96908915,-159.6105419,900,GAY & ROBINSON,1948,1972,12,3.65979528,2.966,3.246666667,1.398666667,1.676666667,0.723333333,1.021333333,1.114,1.441333333,3.359666667,3.144333333,4.032,27.78379528,"Fill, NRFill, State",Discontinued
962,Field 30-O Sugar,21.92742362,-159.6338781,110,OLOKELE SUGAR,1948,1983,10,3.578333333,2.354666667,3.298,1.195666667,1.258666667,0.466,-9999,0.722333333,0.961,-9999,2.891333333,3.655333333,-9999,"Fill, State",Discontinued
965,Makaweli,21.91909048,-159.6272113,140,OLOKELE SUGAR,1892,Present,11,3.381724138,2.391428571,3.192758621,1.09137931,1.096206897,0.500666667,0.666896552,0.657241379,0.876071429,2.606333333,-9999,3.305185185,-9999,"Fill, NCDC, State, State/NCDC",Current
966,Field 360,21.93770144,-159.6038761,470,OLOKELE SUGAR,1939,1983,11,3.969,2.886666667,3.811333333,1.664666667,1.554333333,0.791333333,0.979666667,0.996333333,1.380666667,2.94,-9999,4.177,-9999,"Fill, State",Discontinued
966.1,Camp 2 Makaweli,21.92881263,-159.5922088,250,HAWAIIAN SUGAR,1905,1929,9,3.301666667,2.700666667,3.707,1.357,0.933333333,-9999,1.215,-9999,1.339,-9999,2.997,4.215666667,-9999,"Fill, NRFill, State",Discontinued
966.2,Puulani,21.94075682,-159.5988756,435,HAWAIIAN SUGAR,1919,1938,11,3.871666667,2.616666667,-9999,1.577,1.546,0.907333333,0.893666667,1.108,1.410666667,3.110333333,3.155333333,4.494333333,-9999,"Fill, State",Discontinued
981,Field 370,21.92853385,-159.5722072,350,OLOKELE SUGAR,1939,1983,9,4.475666667,3.343,4.460333333,2.056333333,1.842666667,-9999,1.537333333,1.939,-9999,3.436,5.045666667,-9999,-9999,"Fill, State",Discontinued
982,Field 540,21.93908839,-159.5649839,775,OLOKELE SUGAR,1966,1983,12,4.870559368,3.694443019,5.218801712,2.56231729,2.537511239,1.791089436,2.104010088,2.083646144,2.201156418,3.926070059,4.809021706,5.143370259,40.94199674,"NRFill, State",Discontinued
983,Alexander Res,21.95658562,-159.5255365,1610,MCBRYDE SUGAR,1930,1983,12,6.957,6.136,8.189333333,6.672,4.918333333,7.181333333,6.497,5.496666667,4.847666667,7.548,9.097666667,7.820666667,81.36166667,"Fill, State",Discontinued
985,Brydeswood Sta,21.92519845,-159.5338717,720,MCBRYDE SUGAR,1910,Present,8,-9999,4.358666667,-9999,4.220666667,3.144333333,-9999,4.086333333,3.593,3.062,5.24,5.458,-9999,-9999,"Fill, NCDC, State, State/NCDC",Current
986,Kalaheo Fld Off,21.91686503,-159.5272052,800,KAUAI PINE,1925,1964,6,5.504333333,4.446333333,5.496333333,-9999,-9999,-9999,-9999,3.521333333,3.083333333,-9999,5.216666667,-9999,-9999,"Fill, State",Discontinued
986.1,Mcbryde Vty Sta,21.91853216,-159.5388722,630,HSPA,1957,1983,10,5.328,4.067333333,5.086333333,3.987333333,3.049333333,3.270333333,3.313333333,-9999,2.962333333,-9999,5.177,6.201333333,-9999,"Fill, State",Discontinued
986.2,Kalaheo*,21.91,-159.52,863,KUKUILONO GOLF COU,1976,Present,5,-9999,-9999,4.727,-9999,3.445666667,3.671666667,3.770333333,-9999,-9999,5.411666667,-9999,-9999,-9999,"Fill, Hydronet, State",Current
990,Wahiawa Mtn,21.97186276,-159.5069248,2100,MCBRYDE SUGAR,1901,1973,12,10.38541513,8.630333333,12.96566667,8.979333333,10.25946517,15.171,12.88834183,11.67126737,12.54033333,12.08033333,16.03739711,12.19533333,143.8042199,"Fill, NCDC, NRFill, State, State/NCDC",Discontinued
990.1,Hanapepe Valley,21.980443,-159.53114,543,HAWAIIAN SUGAR,1905,1941,11,9.719333333,-9999,11.77766667,7.212931648,6.102333333,6.938333333,8.727421608,8.193569496,7.914666667,8.307333333,10.14266667,9.557666667,-9999,"Fill, NCDC, NRFill, State/NCDC",Discontinued
990.2,H-M Divide,22.00519306,-159.5172022,2080,HAWAIIAN SUGAR,1910,1941,3,-9999,8.892333333,17.832,-9999,-9999,-9999,19.086,-9999,-9999,-9999,-9999,-9999,-9999,"Fill, NCDC, State, State/NCDC",Discontinued
990.3,Olokele,22.03352524,-159.5522031,1310,HAWAIIAN SUGAR,1904,1941,8,-9999,-9999,9.962707099,8.108016564,8.535,3.677333333,6.751388358,6.466333333,6.621,11.92233333,-9999,-9999,-9999,"Fill, NRFill, State, State/NCDC",Discontinued
992,Omao,21.92686511,-159.4872043,525,MCBRYDE SUGAR,1941,1983,6,-9999,5.118,7.501666667,-9999,5.289666667,-9999,-9999,-9999,-9999,7.358,8.589666667,7.7,-9999,"Fill, State",Discontinued
993,Fld 612,21.92519875,-159.4755378,500,MCBRYDE,1923,1973,12,6.812333333,5.139,7.433333333,6.453333333,5.187333333,6.218,6.758666667,6.318,6.395666667,6.564666667,8.642,6.769666667,78.692,"Fill, State",Discontinued
994,Koloa Mauka,21.96227,-159.47387,640,MCBRYDE SUGAR,1905,Present,10,-9999,-9999,7.390333333,7.526333333,6.479666667,6.592,6.924,7.297666667,7.008333333,7.762333333,9.317333333,8.741333333,-9999,"Fill, NCDC, State, State/NCDC",Current
995,Koloa Field 52,21.97186288,-159.4688695,600,MCBRYDE SUGAR,1947,1973,5,-9999,-9999,7.916666667,-9999,-9999,-9999,-9999,-9999,6.839666667,8.785333333,8.994333333,8.618666667,-9999,"Fill, State",Discontinued
997,Papuaa,21.96852988,-159.4638697,550,LIHUE PLANTATION CO,1915,1983,11,6.614666667,6.242333333,7.262333333,8.17,7.069,6.582333333,-9999,7.069666667,6.730666667,7.843333333,8.491333333,7.447,-9999,"Fill, NCDC, State, State/NCDC",Discontinued
1001,M & M,21.91769882,-159.4555386,300,MCBRYDE,1926,1976,8,-9999,4.373666667,6.452,5.584,-9999,-9999,5.786666667,5.527666667,6.365333333,6.271,8.060333333,-9999,-9999,"Fill, State",Discontinued
1002,Waita,21.90519784,-159.4505393,250,MCBRYDE,1926,1983,10,5.323333333,-9999,5.243333333,-9999,3.484666667,3.298333333,4.401,3.953666667,3.722333333,4.923666667,6.05,5.369333333,-9999,"Fill, State",Discontinued
1003,Kaala,21.92464342,-159.4638715,400,GROVE FARM,1926,1973,8,-9999,4.867666667,-9999,6.273333333,5.105,-9999,6.227666667,6.399666667,6.437666667,-9999,8.488666667,6.383666667,-9999,"Fill, State",Discontinued
1004,Reservoir 6,21.95242068,-159.4438708,420,GROVE FARM,1912,1974,7,-9999,5.418333333,-9999,-9999,4.946333333,-9999,5.051666667,-9999,5.053666667,6.900666667,7.880666667,6.240666667,-9999,"Fill, NCDC, State, State/NCDC",Discontinued
1005,Kaluahonu,21.916489,-159.439031,330,GROVE FARM,1923,1973,11,5.971333333,4.667666667,6.600333333,5.542,4.451,5.297666667,5.362,5.039666667,4.777333333,5.811333333,7.239333333,-9999,-9999,"Fill, NCDC, State, State/NCDC",Discontinued
1006,Halenanaho,21.96491938,-159.4305374,490,GROVE FARM,1932,Present,12,6.264,5.497,7.544333333,6.164666667,5.062,5.175,6.018333333,5.469666667,5.727666667,7.123666667,7.917,7.055333333,75.01866667,"Fill, NCDC, State, State/NCDC",Current
1006.1,Kukaua,21.9954685,-159.4319252,1055,ISENBERG H,1900,1942,9,8.997666667,6.009333333,-9999,6.325666667,6.605666667,-9999,7.273906348,8.643960929,7.844333333,9.373,-9999,7.417666667,-9999,"Fill, NCDC, NRFill, State/NCDC",Discontinued
1007,Fld 826,21.95103215,-159.4260936,340,MCBRYDE,1909,1975,7,-9999,5.320333333,-9999,-9999,4.627666667,4.647,4.642333333,4.937333333,-9999,-9999,7.794333333,6.226333333,-9999,"Fill, NCDC, State, State/NCDC",Discontinued
1007.1,Kipu Stable,21.94019918,-159.4205386,340,KIPU RANCH,1943,1965,7,6.018333333,5.037333333,6.871666667,4.79,-9999,3.896,-9999,-9999,-9999,6.527333333,6.929,-9999,-9999,"Fill, State",Discontinued
1007.2,Kipu 11,21.93714235,-159.3955397,275,KIPU RANCH,1943,1965,12,5.436666667,4.734,6.185333333,4.199,3.122666667,2.925333333,3.271666667,3.239666667,4.168333333,6.066666667,5.492666667,5.795,54.637,"Fill, State",Discontinued
1007.3,Kipu Kai,21.91908314,-159.3855407,25,KIPU KAI RANCH,1943,1982,11,4.558,3.346666667,5.349333333,3.670666667,2.750666667,2.079,2.532333333,2.177,2.778333333,4.252333333,6.96,-9999,-9999,"Fill, State",Discontinued
1011,Lp Res 5,21.95686478,-159.4138716,385,LIHUE PLANTATION,1935,1983,11,5.803666667,5.179666667,6.484333333,5.055333333,4.285666667,4.121333333,4.439,4.616333333,-9999,6.265333333,7.662666667,5.970333333,-9999,"Fill, NCDC, State, State/NCDC",Discontinued
1012,Field 18-A,21.94964307,-159.3972058,260,GROVE FARM,1945,1983,11,5.750333333,4.678666667,5.779,4.636,3.624333333,3.659333333,3.943666667,4.250333333,4.126,6.063666667,-9999,6.238,-9999,"Fill, State",Discontinued
1013,Puhi,21.96491954,-159.3972052,330,LIHUE PLANTATION,1935,Present,11,5.750333333,5.160666667,6.755333333,-9999,3.964333333,3.623333333,4.122333333,4.193,3.958,5.948333333,6.985,6.352666667,-9999,"Fill, NCDC, State, State/NCDC",Current
1013.1,Field 39-Lihue,21.97575123,-159.4022046,375,LIHUE PLANTATION,1947,1960,12,6.093559595,6.412505919,6.791593911,4.708654531,4.357617288,3.203328041,4.02587735,4.382273765,4.035653429,6.60892573,7.227820702,6.439872594,64.28768286,"NRFill, State",Discontinued
1013.2,Field L-1,21.98019418,-159.3916492,340,LIHUE PLANTATION,1960,1980,12,5.462791393,4.888348978,6.422817945,4.58808361,5.199414292,3.587378454,4.179777264,4.317794815,4.141841631,6.599198926,6.99117088,6.300153796,62.67877198,"NRFill, State",Discontinued
1015,Molokoa,21.97852687,-159.378872,240,MRS H ISENBERG,1893,1950,12,5.343666667,4.735333333,5.008333333,3.889,3.708666667,3.258666667,3.372,3.431333333,4.167333333,5.661666667,6.230333333,6.177666667,54.984,"Fill, NCDC, State/NCDC",Discontinued
1015.1,Kilohana(Lihue),21.96686333,-159.3922053,330,A W DUVAL,1903,1938,11,5.160333333,3.463,5.946666667,-9999,3.625666667,2.756333333,4.100333333,3.304666667,4.319666667,6.106666667,6.895666667,5.729,-9999,"Fill, NCDC, State/NCDC",Discontinued
1016,Lp Hi 4,21.96741807,-159.38415,260,LIHUE PLANTATION,1941,1983,12,5.501,4.715333333,5.594333333,4.070333333,3.501666667,3.095666667,3.416,3.743,3.737333333,6.044,6.090666667,6.000333333,55.50966667,"Fill, State",Discontinued
1017,Malumalu,21.95380736,-159.3805396,250,GROVE FARM,1940,1984,12,5.382,4.757333333,5.443666667,3.839333333,3.717333333,3.249666667,3.237,3.071666667,3.414,5.429,6.416333333,6.016333333,53.97366667,"Fill, NCDC, State, State/NCDC",Discontinued
1020,Lihue,21.97186009,-159.3688726,205,LIHUE PLANTATION,1904,2000,10,4.903666667,4.196,5.603333333,3.471,3.448333333,2.924666667,-9999,3.050333333,3.223333333,5.228333333,5.913333333,-9999,-9999,"Fill, NCDC, State, State/NCDC",Discontinued
1020.1,Lihue Airport,21.98156999,-159.3422063,103,NWS,1950,Present,12,4.001333333,3.469666667,4.660666667,2.272666667,2.552,1.827666667,2.063666667,2.075333333,2.632333333,4.225333333,4.655666667,5.524666667,39.961,"Fill, NCDC, State/NCDC",Current
1020.3,Field 32-Lihue,21.96628789,-159.3327628,50,LIHUE PLANTATION,1947,1981,12,4.077,3.526,4.365666667,2.259333333,2.475333333,1.730333333,1.675666667,1.838333333,2.396,3.638,5.297,3.888,37.16666667,"Fill, State",Discontinued
1020.4,Field 24-Lihue,21.96629562,-159.344429,125,LIHUE PLANTATION,1947,1986,12,4.166333333,4.154333333,4.724666667,3.026,2.996666667,2.123666667,2.259,2.274666667,3.194666667,4.774666667,5.758,5.333,44.78566667,"Fill, State",Discontinued
1020.5,L 20,21.97685476,-159.3555394,175,LIHUE PLANTATION,1947,1984,12,4.287,3.814333333,5.524333333,3.367,3.066333333,2.674333333,2.531,2.328666667,2.656333333,4.605666667,5.626333333,4.687931034,45.16926437,"Fill, State",Discontinued
1021,Hi,21.96352648,-159.3672063,200,LIHUE PLANTATION,1885,1983,5,-9999,-9999,5.336666667,-9999,-9999,2.894333333,2.969666667,-9999,-9999,5.166666667,-9999,5.725333333,-9999,"Fill, NCDC, State, State/NCDC",Discontinued
1022,Hanamaulu,21.99185178,-159.3555387,175,LIHUE PLANTATION,1930*,1995,10,5.003,4.046,-9999,3.658666667,-9999,2.650666667,3.148666667,3.431,3.335,6.058,5.893666667,4.962,-9999,"Fill, NCDC, State, State/NCDC",Discontinued
1024,Field 242,22.01853193,-159.7822105,10,KEKAHA SUGAR,1946,1965,9,-9999,2.11408413,2.096485274,-9999,1.139419851,0.337315155,0.52878481,0.579030496,0.958225054,-9999,2.545366225,3.399112944,-9999,"NRFill, State",Discontinued
1026,Mana,22.02742459,-159.761099,10,KEKAHA SUGAR,1904,2000,4,-9999,-9999,-9999,0.912333333,-9999,-9999,-9999,-9999,1.064666667,2.858666667,-9999,3.608666667,-9999,"Fill, NCDC, State/NCDC",Discontinued
1027,Limaloa,22.00686743,-159.7738776,10,KEKAHA SUGAR,1946,1993,11,3.041,2.171666667,2.203666667,0.777,1.106,-9999,0.532333333,0.645,0.954333333,2.392333333,2.483,3.225666667,-9999,"Fill, State",Discontinued
1028,Nohili,22.05311,-159.77582,10,KEKAHA SUGAR,1965,1993,9,3.295666667,-9999,2.189666667,0.883333333,1.064333333,0.298666667,0.424666667,0.525,0.989666667,-9999,-9999,3.610333333,-9999,"Fill, State",Discontinued
1030,Field 123,22.0418678,-159.7622096,45,KEKAHA SUGAR,1946,1993,10,2.941333333,2.276666667,-9999,0.936,1.074666667,0.401666667,0.47,0.594018731,1.03,2.822333333,-9999,3.666,-9999,"Fill, NRFill, State",Discontinued
1031,Saki Mana,22.05519975,-159.7605423,10,KEKAHA SUGAR,1945,1993,10,3.372333333,2.727,-9999,0.975,1.245666667,0.426,0.455,0.707666667,1.042333333,2.687333333,2.814,-9999,-9999,"Fill, State",Discontinued
1033,Kolo,22.06686523,-159.7605418,35,KEKAHA SUGAR,1936,2000,9,3.579333333,-9999,2.748333333,-9999,1.173,0.447666667,-9999,0.898666667,0.785,2.424,2.635333333,3.585666667,-9999,"Fill, NCDC, NRFill, State/NCDC",Discontinued
1034,Camp 3,22.0185361,-159.7555437,10,KEKAHA SUGAR,1946,1993,9,2.980333333,2.437,2.206333333,0.834,1.245666667,-9999,-9999,0.837666667,1.197666667,-9999,3.014333333,3.629333333,-9999,"Fill, State",Discontinued
1035,Niu Ridge,22.03020119,-159.7355433,1250,KEKAHA SUGAR,1939,2000,12,3.782666667,2.914666667,2.865333333,1.282,1.585666667,0.693,1.122,1.046721981,1.757664691,3.559666667,3.062,5.609,29.28038667,"Fill, NCDC, NRFill, State, State/NCDC",Discontinued
1037,Puu Opae Garden,22.04353097,-159.6922094,2250,KEKAHA SUGAR,1946,1955,7,-9999,-9999,-9999,-9999,-9999,1.917726897,1.521941555,2.039541436,3.265333699,4.816727964,4.990692661,5.341215706,-9999,"NRFill, State",Discontinued
1037.1,Kitano,22.029953,-159.674939,2150,KEKAHA SUGAR,1955,1993,12,5.475666667,4.033,4.220333333,2.329666667,2.244333333,1.406666667,1.312,1.714333333,2.114333333,3.995,4.324666667,4.899333333,38.06933333,"Fill, State",Discontinued
1040,Puehu Ridge,22.01547687,-159.6922106,1660,KEKAHA SUGAR,1939,2000,12,4.445333333,3.186333333,3.373,1.549,1.745333333,0.917666667,1.228,1.347333333,1.912666667,3.38,3.256666667,4.632333333,30.97366667,"Fill, NCDC, State/NCDC",Discontinued
1040.3,Ks F663,21.99936694,-159.7022113,1025,KEKAHA SUGAR,1966,1993,4,-9999,2.754333333,-9999,1.148666667,1.348,-9999,0.731,-9999,-9999,-9999,-9999,-9999,-9999,"Fill, State",Discontinued
1045,Waialeale Trail,22.07605556,-159.5361111,4560,USGS,1995,Present,12,14.83149681,12.67549755,15.16434907,15.62095733,9.358284964,13.14728765,11.87487322,9.706691697,10.5741369,14.56708607,15.17406963,17.47590866,160.1706395,"NRFill, USGS",Current
1047,Mt. Waialeale,22.07088889,-159.4979722,5150,USGS,1950,Present,12,24.77866667,24.42433333,37.83433333,37.73133333,30.79466667,32.90866667,38.84933333,34.80733333,30.259,33.759,37.60233333,30.10733333,393.8563333,"Fill, USGS",Current
1050,Iliiiula Intake,22.03962496,-159.4688683,1070,LIHUE PLANTATION,1935,1986,11,11.69666667,9.948666667,13.797,12.498,10.66233333,-9999,12.56133333,13.20866667,12.564,13.384,17.06933333,13.08466667,-9999,"Fill, NCDC, State, State/NCDC",Discontinued
1051,Wailua Ditch,22.0625,-159.4677222,1110,LIHUE PLANTATION,1929,Present,12,12.596,12.49866667,16.01166667,13.401,11.66966667,11.95766667,13.35866667,13.33933333,11.86466667,12.95866667,17.64105871,13.795,161.0920587,"Fill, NCDC, NRFill, State, State/NCDC, USGS",Current
1051.1,Hanalei Tun Otlt,22.07960453,-159.4616456,1210,USGS,1928,1960,11,14.88133333,11.71433333,12.89033333,13.361,11.723,11.55833333,13.24366667,13.28633333,-9999,14.03233333,17.53613556,14.61832816,-9999,"Fill, NRFill, State",Discontinued
1052,Waiahi Upper,22.02018637,-159.4638686,780,LIHUE PLANTATION,1927,1986,10,9.580333333,8.754333333,10.013,10.305,10.93933333,-9999,11.46366667,10.20233333,-9999,12.48766667,14.43333333,11.91766667,-9999,"Fill, NCDC, State, State/NCDC",Discontinued
1053.1,Summit Camp,22.09847635,-159.4455345,1900,KAUAI ELECTRIC,1910,1927,8,9.558245609,8.175275357,11.38993752,11.86762547,-9999,-9999,9.563416454,11.70150274,-9999,11.32289862,17.81930445,-9999,-9999,"NRFill, State",Discontinued
1054,Waiahi Lower,22.01796298,-159.4438689,550,LIHUE PLANTATION,1910,1986,11,-9999,7.048666667,9.922666667,9.500666667,8.372,10.30433333,9.429333333,9.693450828,9.209447355,9.691666667,12.67833333,9.194,-9999,"Fill, NCDC, NRFill, State, State/NCDC",Discontinued
1054.2,Fld Lihue 10,22.00851965,-159.4222029,800,HAW'N CANNERIES,1951,1962,8,-9999,5.931690387,-9999,5.578597363,5.660213181,5.734183306,-9999,6.403124691,6.11484819,7.885663112,-9999,7.02450631,-9999,"NRFill, State",Discontinued
1055.1,Stable Storm Dch,22.0551695,-159.4422017,750,LIHUE PLANTATION,1954,1986,10,10.34066667,-9999,9.691666667,10.50833333,8.256,8.089,9.188666667,10.213,9.572666667,10.171,12.38266667,-9999,-9999,"Fill, State",Discontinued
1055.3,N Fk Wailua R,22.06405228,-159.4363684,650,USGS,1929,1949,9,8.387333333,8.775333333,-9999,8.232333333,7.884,-9999,9.099918054,9.648333333,7.285666667,9.525666667,-9999,9.899666667,-9999,"Fill, NRFill, State",Discontinued
1057,Hanamaulu 46,22.06016222,-159.4205353,570,LIHUE PLANTATION,1935,1945,11,7.300714543,6.869161858,9.097563652,-9999,7.210930304,7.151138357,7.635287348,7.786961373,7.198356944,8.56328203,11.26646646,8.215324697,-9999,"NRFill, State",Discontinued
1061,Ekw 5,22.05682632,-159.4005358,475,LIHUE PLANTATION,1932,1986,12,6.685666667,6.178666667,8.991,6.935333333,5.883333333,5.395,6.356333333,6.413,6.379,7.583666667,9.377,7.382666667,83.56066667,"Fill, State",Discontinued
