"city_logged","state","city_resolved","lat","lon","location_type","formatted","audit","spelling_corrected","source","retrieved"
"Firebaugh","CA","Firebaugh",36.8588376,-120.4560072,"APPROXIMATE","Firebaugh, CA, USA","PASS",FALSE,"Google Geocoding API","2026-09-01"
"Frazier Park","CA","Frazier Park",34.8225014,-118.9451126,"APPROXIMATE","Frazier Park, CA 93225, USA","PASS",FALSE,"Google Geocoding API","2026-09-01"
"Ft Bragg","CA","Fort Bragg",39.445723,-123.8052935,"APPROXIMATE","Fort Bragg, CA 95437, USA","PASS (coastal)",TRUE,"Google Geocoding API","2026-09-01"
"King City","CA","King City",36.2127439,-121.1260287,"APPROXIMATE","King City, CA, USA","PASS",FALSE,"Google Geocoding API","2026-09-01"
"Lee Vining","CA","Lee Vining",37.957592,-119.119943,"APPROXIMATE","Lee Vining, CA 93541, USA","PASS",FALSE,"Google Geocoding API","2026-09-01"
"Leggett","CA","Leggett",39.8654841,-123.7148275,"APPROXIMATE","Leggett, CA 95585, USA","PASS",FALSE,"Google Geocoding API","2026-09-01"
"Lone Pine","CA","Lone Pine",36.6063107,-118.0637119,"APPROXIMATE","Lone Pine, CA, USA","PASS",FALSE,"Google Geocoding API","2026-09-01"
"Miranda","CA","Miranda",40.2344821,-123.8243505,"APPROXIMATE","Miranda, CA, USA","PASS",FALSE,"Google Geocoding API","2026-09-01"
"Palo Verde","CA","Palo Verde",33.4328069,-114.7321814,"APPROXIMATE","Palo Verde, CA 92266, USA","PASS",FALSE,"Google Geocoding API","2026-09-01"
"Paso Robles","CA","Paso Robles",35.6368759,-120.6545022,"APPROXIMATE","Paso Robles, CA 93446, USA","PASS",FALSE,"Google Geocoding API","2026-09-01"
"Piercy","CA","Piercy",39.9660063,-123.7950389,"APPROXIMATE","Piercy, CA, USA","PASS",FALSE,"Google Geocoding API","2026-09-01"
"Sand City","CA","Sand City",36.6171819,-121.8482855,"APPROXIMATE","Sand City, CA, USA","PASS",FALSE,"Google Geocoding API","2026-09-01"
"South Pasadena","CA","South Pasadena",34.1161196,-118.1503488,"APPROXIMATE","South Pasadena, CA 91030, USA","PASS",FALSE,"Google Geocoding API","2026-09-01"
"Trinidad","CA","Trinidad",41.059291,-124.1431246,"APPROXIMATE","Trinidad, CA 95570, USA","PASS",FALSE,"Google Geocoding API","2026-09-01"
"Ukiah","CA","Ukiah",39.1501709,-123.2077831,"APPROXIMATE","Ukiah, CA 95482, USA","PASS",FALSE,"Google Geocoding API","2026-09-01"
"Williams","CA","Williams",39.1546137,-122.1494187,"APPROXIMATE","Williams, CA 95987, USA","PASS",FALSE,"Google Geocoding API","2026-09-01"
"Atwood","CO","Atwood",40.5477619,-103.2696574,"APPROXIMATE","Atwood, CO 80722, USA","PASS",FALSE,"Google Geocoding API","2026-09-01"
"Burlington","CO","Burlington",39.3061082,-102.2693563,"APPROXIMATE","Burlington, CO 80807, USA","PASS",FALSE,"Google Geocoding API","2026-09-01"
"Gypsum","CO","Gypsum",39.6446532,-106.9491072,"APPROXIMATE","Gypsum, CO 81637, USA","PASS",FALSE,"Google Geocoding API","2026-09-01"
"Walsenburg","CO","Walsenburg",37.6227357,-104.780403,"APPROXIMATE","Walsenburg, CO 81089, USA","PASS",FALSE,"Google Geocoding API","2026-09-01"
"Watkins","CO","Watkins",39.7435442,-104.6080353,"APPROXIMATE","Watkins, CO 80137, USA","PASS",FALSE,"Google Geocoding API","2026-09-01"
"Ft. Oglethorpe","GA","Fort Oglethorpe",34.9489645,-85.2569,"APPROXIMATE","Fort Oglethorpe, GA, USA","PASS",TRUE,"Google Geocoding API","2026-09-01"
"Madison","GA","Madison",33.5956813,-83.467944,"APPROXIMATE","Madison, GA 30650, USA","PASS",FALSE,"Google Geocoding API","2026-09-01"
"Anamosa","IA","Anamosa",42.1083371,-91.2851594,"APPROXIMATE","Anamosa, IA 52205, USA","PASS",FALSE,"Google Geocoding API","2026-09-01"
"Burlington","IA","Burlington",40.8076529,-91.1128901,"APPROXIMATE","Burlington, IA, USA","PASS",FALSE,"Google Geocoding API","2026-09-01"
"North Liberty","IA","North Liberty",41.7521876,-91.6075791,"APPROXIMATE","North Liberty, IA 52317, USA","PASS",FALSE,"Google Geocoding API","2026-09-01"
"Osceola","IA","Osceola",41.0342618,-93.766759,"APPROXIMATE","Osceola, IA 50213, USA","PASS",FALSE,"Google Geocoding API","2026-09-01"
"American Falls","ID","American Falls",42.7860226,-112.8544377,"APPROXIMATE","American Falls, ID 83211, USA","PASS",FALSE,"Google Geocoding API","2026-09-01"
"Carterville","IL","Carterville",37.7600501,-89.0772991,"APPROXIMATE","Carterville, IL 62918, USA","PASS",FALSE,"Google Geocoding API","2026-09-01"
"Mendota","IL","Mendota",41.5472547,-89.1175851,"APPROXIMATE","Mendota, IL 61342, USA","PASS",FALSE,"Google Geocoding API","2026-09-01"
"Mt Vernon","IL","Mt Vernon",38.3169269,-88.9036224,"APPROXIMATE","Mt Vernon, IL 62864, USA","PASS",FALSE,"Google Geocoding API","2026-09-01"
"Colby","KS","Colby",39.3958369,-101.0523773,"APPROXIMATE","Colby, KS 67701, USA","PASS",FALSE,"Google Geocoding API","2026-09-01"
"Hays","KS","Hays",38.8758435,-99.3283696,"APPROXIMATE","Hays, KS 67601, USA","PASS",FALSE,"Google Geocoding API","2026-09-01"
"Junction City","KS","Junction City",39.0286093,-96.8313978,"APPROXIMATE","Junction City, KS, USA","PASS",FALSE,"Google Geocoding API","2026-09-01"
"Oakley","KS","Oakley",39.1270975,-100.8479688,"APPROXIMATE","Oakley, KS 67748, USA","PASS",FALSE,"Google Geocoding API","2026-09-01"
"Osawatomie","KS","Osawatomie",38.4972372,-94.9505207,"APPROXIMATE","Osawatomie, KS, USA","PASS",FALSE,"Google Geocoding API","2026-09-01"
"London","KY","London",37.1289771,-84.0832646,"APPROXIMATE","London, KY, USA","PASS",FALSE,"Google Geocoding API","2026-09-01"
"Pikeville","KY","Pikeville",37.4792672,-82.5187629,"APPROXIMATE","Pikeville, KY 41501, USA","PASS",FALSE,"Google Geocoding API","2026-09-01"
"Garden City","MO","Garden City",38.5616185,-94.1903621,"APPROXIMATE","Garden City, MO 64747, USA","PASS",FALSE,"Google Geocoding API","2026-09-01"
"Liberty","MO","Liberty",39.2461138,-94.4191177,"APPROXIMATE","Liberty, MO, USA","PASS",FALSE,"Google Geocoding API","2026-09-01"
"Nixa","MO","Nixa",37.0433863,-93.294353,"APPROXIMATE","Nixa, MO 65714, USA","PASS",FALSE,"Google Geocoding API","2026-09-01"
"Plattsburg","MO","Plattsburg",39.5655549,-94.4480059,"APPROXIMATE","Plattsburg, MO 64477, USA","PASS",FALSE,"Google Geocoding API","2026-09-01"
"Shelbina","MO","Shelbina",39.6939275,-92.0429502,"APPROXIMATE","Shelbina, MO 63468, USA","PASS",FALSE,"Google Geocoding API","2026-09-01"
"West Yellowstone","MT","West Yellowstone",44.6621493,-111.1041092,"APPROXIMATE","West Yellowstone, MT 59758, USA","PASS",FALSE,"Google Geocoding API","2026-09-01"
"Cherokee","NC","Cherokee",35.4770574,-83.3205859,"APPROXIMATE","Cherokee, NC, USA","PASS",FALSE,"Google Geocoding API","2026-09-01"
"Morehead City","NC","Morehead City",34.7229391,-76.7260436,"APPROXIMATE","Morehead City, NC, USA","PASS (coastal)",FALSE,"Google Geocoding API","2026-09-01"
"Big Springs","NE","Big Springs",41.0630102,-102.0740255,"APPROXIMATE","Big Springs, NE 69122, USA","PASS",FALSE,"Google Geocoding API","2026-09-01"
"Gothensburg","NE","Gothenburg",40.9276614,-100.1606978,"APPROXIMATE","Gothenburg, NE 69138, USA","PASS",TRUE,"Google Geocoding API","2026-09-01"
"Kearney","NE","Kearney",40.6993303,-99.0816784,"APPROXIMATE","Kearney, NE, USA","PASS",FALSE,"Google Geocoding API","2026-09-01"
"Alamogaordo","NM","Alamogordo",32.9007766,-105.9601797,"APPROXIMATE","Alamogordo, NM 88310, USA","PASS",TRUE,"Google Geocoding API","2026-09-01"
"Grants","NM","Grants",35.14726,-107.8514466,"APPROXIMATE","Grants, NM 87020, USA","PASS",FALSE,"Google Geocoding API","2026-09-01"
"Lordsburg","NM","Lordsburg",32.3503605,-108.7086649,"APPROXIMATE","Lordsburg, NM 88045, USA","PASS",FALSE,"Google Geocoding API","2026-09-01"
"Questa","NM","Questa",36.7041783,-105.59577,"APPROXIMATE","Questa, NM 87556, USA","PASS",FALSE,"Google Geocoding API","2026-09-01"
"Ruidoso","NM","Ruidoso",33.3338601,-105.6813321,"APPROXIMATE","Ruidoso, NM, USA","PASS",FALSE,"Google Geocoding API","2026-09-01"
"Vaughn","NM","Vaughn",34.6017346,-105.2083337,"APPROXIMATE","Vaughn, NM 88353, USA","PASS",FALSE,"Google Geocoding API","2026-09-01"
"Wagon Mound","NM","Wagon Mound",36.0089252,-104.7066582,"APPROXIMATE","Wagon Mound, NM 87752, USA","PASS",FALSE,"Google Geocoding API","2026-09-01"
"Whites City","NM","Whites City",32.1756724,-104.3766136,"APPROXIMATE","Whites City, NM 88220, USA","PASS",FALSE,"Google Geocoding API","2026-09-01"
"Amagosa","NV","Amargosa Valley",36.6437843,-116.4002815,"APPROXIMATE","Amargosa Valley, NV 89020, USA","PASS",TRUE,"Google Geocoding API","2026-09-01"
"Beatty","NV","Beatty",36.9085566,-116.7592265,"APPROXIMATE","Beatty, NV 89003, USA","PASS",FALSE,"Google Geocoding API","2026-09-01"
"Fallon","NV","Fallon",39.4748693,-118.7770407,"APPROXIMATE","Fallon, NV 89406, USA","PASS",FALSE,"Google Geocoding API","2026-09-01"
"Jean","NV","Jean",35.778868,-115.3238828,"APPROXIMATE","Jean, NV 89054, USA","PASS",FALSE,"Google Geocoding API","2026-09-01"
"Searchlight","NV","Searchlight",35.4652621,-114.9200198,"APPROXIMATE","Searchlight, NV 89046, USA","PASS",FALSE,"Google Geocoding API","2026-09-01"
"Wells","NV","Wells",41.1115888,-114.96449,"APPROXIMATE","Wells, NV 89835, USA","PASS",FALSE,"Google Geocoding API","2026-09-01"
"Winnemucca","NV","Winnemucca",40.9728274,-117.7357354,"APPROXIMATE","Winnemucca, NV 89445, USA","PASS",FALSE,"Google Geocoding API","2026-09-01"
"Chandler","OK","Chandler",35.7017314,-96.8808582,"APPROXIMATE","Chandler, OK 74834, USA","PASS",FALSE,"Google Geocoding API","2026-09-01"
"Clinton","OK","Clinton",35.5156056,-98.9673069,"APPROXIMATE","Clinton, OK, USA","PASS",FALSE,"Google Geocoding API","2026-09-01"
"Nowata","OK","Nowata",36.700645,-95.6380341,"APPROXIMATE","Nowata, OK 74048, USA","PASS",FALSE,"Google Geocoding API","2026-09-01"
"Astoria","OR","Astoria",46.1878841,-123.8312534,"APPROXIMATE","Astoria, OR 97103, USA","PASS (coastal)",FALSE,"Google Geocoding API","2026-09-01"
"Bandon","OR","Bandon",43.1189978,-124.408448,"APPROXIMATE","Bandon, OR 97411, USA","PASS",FALSE,"Google Geocoding API","2026-09-01"
"Brookings","OR","Brookings",42.0526114,-124.2839819,"APPROXIMATE","Brookings, OR 97415, USA","PASS",FALSE,"Google Geocoding API","2026-09-01"
"Coos Bay","OR","Coos Bay",43.3672213,-124.2131325,"APPROXIMATE","Coos Bay, OR, USA","PASS",FALSE,"Google Geocoding API","2026-09-01"
"Creswell","OR","Creswell",43.9179023,-123.0245261,"APPROXIMATE","Creswell, OR 97426, USA","PASS",FALSE,"Google Geocoding API","2026-09-01"
"Drain","OR","Drain",43.6587309,-123.3186987,"APPROXIMATE","Drain, OR, USA","PASS",FALSE,"Google Geocoding API","2026-09-01"
"Florence","OR","Florence",43.9826214,-124.0998409,"APPROXIMATE","Florence, OR 97439, USA","PASS",FALSE,"Google Geocoding API","2026-09-01"
"Grants Pass","OR","Grants Pass",42.4390069,-123.3283925,"APPROXIMATE","Grants Pass, OR, USA","PASS",FALSE,"Google Geocoding API","2026-09-01"
"Roseburg","OR","Roseburg",43.2135109,-123.3412844,"APPROXIMATE","Roseburg, OR, USA","PASS",FALSE,"Google Geocoding API","2026-09-01"
"Veneta","OR","Veneta",44.0487342,-123.3509294,"APPROXIMATE","Veneta, OR 97487, USA","PASS",FALSE,"Google Geocoding API","2026-09-01"
"West Linn","OR","West Linn",45.3662205,-122.6301313,"APPROXIMATE","West Linn, OR, USA","PASS",FALSE,"Google Geocoding API","2026-09-01"
"Goodlettsville","TN","Goodlettsville",36.3223135,-86.7132894,"APPROXIMATE","Goodlettsville, TN 37072, USA","PASS",FALSE,"Google Geocoding API","2026-09-01"
"McMinnville","TN","McMinnville",35.6865889,-85.7801453,"APPROXIMATE","McMinnville, TN 37110, USA","PASS",FALSE,"Google Geocoding API","2026-09-01"
"Crosbyton","TX","Crosbyton",33.6600847,-101.2379276,"APPROXIMATE","Crosbyton, TX 79322, USA","PASS",FALSE,"Google Geocoding API","2026-09-01"
"Escalante","UT","Escalante",37.7702663,-111.602119,"APPROXIMATE","Escalante, UT 84726, USA","PASS",FALSE,"Google Geocoding API","2026-09-01"
"Monticello","UT","Monticello",37.8713829,-109.3428948,"APPROXIMATE","Monticello, UT 84535, USA","PASS",FALSE,"Google Geocoding API","2026-09-01"
"Parowan","UT","Parowan",37.8421975,-112.8279996,"APPROXIMATE","Parowan, UT, USA","PASS",FALSE,"Google Geocoding API","2026-09-01"
"Salina","UT","Salina",38.9577407,-111.859925,"APPROXIMATE","Salina, UT 84654, USA","PASS",FALSE,"Google Geocoding API","2026-09-01"
"Spanish Forks","UT","Spanish Fork",40.0780777825836,-111.606451430738,"APPROXIMATE","Spanish Fork, Utah 84660, USA","PASS",TRUE,"Google Geocoding API","2026-09-01"
"Springdale","UT","Springdale",37.1888713,-112.9985515,"APPROXIMATE","Springdale, UT, USA","PASS",FALSE,"Google Geocoding API","2026-09-01"
"Anacrtes","WA","Anacortes",48.5126045,-122.6126718,"APPROXIMATE","Anacortes, WA, USA","PASS (coastal)",TRUE,"Google Geocoding API","2026-09-01"
"Bainbridge Is","WA","Bainbridge Island",47.6248791,-122.5210008,"APPROXIMATE","Bainbridge Island, WA, USA","PASS",TRUE,"Google Geocoding API","2026-09-01"
"Burlington","WA","Burlington",48.4756621,-122.3254375,"APPROXIMATE","Burlington, WA 98233, USA","PASS",FALSE,"Google Geocoding API","2026-09-01"
"Concrete","WA","Concrete",48.5392813,-121.7462513,"APPROXIMATE","Concrete, WA 98237, USA","PASS",FALSE,"Google Geocoding API","2026-09-01"
"Mt. Vernon","WA","Mount Vernon",48.4201105,-122.3374542,"APPROXIMATE","Mount Vernon, WA, USA","PASS",TRUE,"Google Geocoding API","2026-09-01"
"Port Angeles","WA","Port Angeles",48.118146,-123.4307413,"APPROXIMATE","Port Angeles, WA, USA","PASS",FALSE,"Google Geocoding API","2026-09-01"
"Quinault","WA","Quinault",47.4670312,-123.8454552,"APPROXIMATE","Quinault, WA 98575, USA","PASS",FALSE,"Google Geocoding API","2026-09-01"
"Sequim","WA","Sequim",48.0795365,-123.1018437,"APPROXIMATE","Sequim, WA, USA","PASS",FALSE,"Google Geocoding API","2026-09-01"
"Toledo","WA","Toledo",46.4398305,-122.846783,"APPROXIMATE","Toledo, WA 98591, USA","PASS",FALSE,"Google Geocoding API","2026-09-01"
"Tumwater","WA","Tumwater",47.0073187,-122.9093063,"APPROXIMATE","Tumwater, WA, USA","PASS",FALSE,"Google Geocoding API","2026-09-01"
"DeKorra","WI","Dekorra",43.4583051,-89.4666217,"APPROXIMATE","Dekorra, WI 53955, USA","PASS",TRUE,"Google Geocoding API","2026-09-01"
"Sun Prairie","WI","Sun Prairie",43.1836046,-89.2137254,"APPROXIMATE","Sun Prairie, WI, USA","PASS",FALSE,"Google Geocoding API","2026-09-01"
"Lewisburg","WV","Lewisburg",37.8017879,-80.4456303,"APPROXIMATE","Lewisburg, WV 24901, USA","PASS",FALSE,"Google Geocoding API","2026-09-01"
"Summersville","WV","Summersville",38.2812203,-80.8525981,"APPROXIMATE","Summersville, WV 26651, USA","PASS",FALSE,"Google Geocoding API","2026-09-01"
"Cokeville","WY","Cokeville",42.0824368,-110.9551867,"APPROXIMATE","Cokeville, WY 83114, USA","PASS",FALSE,"Google Geocoding API","2026-09-01"
"Jackson","WY","Jackson",43.4799291,-110.7624282,"APPROXIMATE","Jackson, WY, USA","PASS",FALSE,"Google Geocoding API","2026-09-01"
