"id","date","location","field","logged","corrected","basis","status"
"L27","2014-05-28","Woody Point, NL","(no error)","flagged: 66.0 MPG implied","NOT AN ERROR - PARTIAL FILL","2014 scan p5: Kim annotated the row 'Reg. (partial)' and the cost is exactly $20.00 -- a round-dollar purchase, 14.161 L","RESOLVED 2026-08-18"
"L28","2014-05-26 .. 06-07","all Canadian rows, 2014 trip","UNITS","one '$/gal' column holding three different regimes","p5 & p7 = DOLLARS per litre; p6 = CENTS per litre; Montana onward = USD per gallon. Gallons column holds LITRES throughout Canada","2014 scan pages 5-7 read directly; the column header is annotated '(Liters)' on p5","DOCUMENTED 2026-08-18 - do NOT bulk-convert this trip"
"L29","2012-05-31","Richmond, Ohio","Date","5/31/0202  (text, not a date)","5/31/2012","year typed as 0202 for 2012; the cell is TEXT so every date-aware read either fails or silently drops it","CONFIRMED 2026-08-18 - a real error, but a DATE error, not a missing row"
"L30","2012-06-01","Morgantown, WV","(no error)","flagged: 100.6 MPG -- 'a fill-up is missing'","NOT AN ERROR - MY ARTIFACT","my filter !is.na(date) silently dropped the Richmond OH row (L29). Morgantown's predecessor became Champaign, inventing a 500-mile leg. In ODOMETER order every MPG here is normal: 41.9 / 42.6 / 35.1 / 41.2","WITHDRAWN 2026-08-18 - the anomaly was created by the analysis, not the data"
"L31","2013-09-02","San Mateo, CA","Price/Gallon","3.359","4.359","28.36/6.507 = 4.358 uniquely; and every other CA price that week is 4.06-4.46, so 3.359 is out of family","CONFIRMED 2026-08-18 - single-digit 4->3"
"L32","2013-08-12","Haines Junction, Yukon","Price (cost)","19.59 USD","$16.28 USD  (= 16.73 CAD at 0.9731)","KIM'S VISA STATEMENT, 12-Aug, NORTH 60 PETRO EXPRESS, $16.28. Paper gives 1.489 CAD/L x 11.237 L = 16.73 CAD exactly; 16.28/16.73 = 0.9731, the correct Aug-2013 CAD/USD rate. The sheet's 19.59 is 20% high and underivable.","RESOLVED 2026-08-18 - card gives the settled USD amount AND the exchange rate"
"L33","2013-08-25","Homer, AK","Gallons","4.369 x 5.467 = 23.89 vs 28.38 recorded","6.496  (cost 28.38 and price 4.369 are BOTH correct)","Kim's AMEX confirms cost 28.38, eliminating the cost as the fault. Two independent tests then agree the price is sound and the gallons are not: (1) price-family -- non-Dalton Alaskan prices are 4.13-4.37, so 4.369 belongs and 5.191 does not; (2) economy -- Sterling->Homer is 289 mi, giving 52.9 MPG at 5.467 gal but a normal 44.5 at 6.496.","RESOLVED 2026-08-18 - my earlier 'cost is wrong' diagnosis was REFUTED by the card"
"L34","(method)","ALL card-derived city corrections","CAVEAT","card statement city treated as the stop location","a card's city is the MERCHANT'S REGISTERED ADDRESS, not the pump","12-Aug 2013 Visa reads WHITEHORSE YT; the stop was HAINES JUNCTION, 100 mi away. Odometer proves it: 157 mi then 64 mi fits Haines Junction (ratios 1.24, 1.15) and is impossible for Whitehorse (1.52, 0.49). NOTE: L12/L15/L17 were each confirmed GEOGRAPHICALLY as well as by card, so they stand.","DOCUMENTED 2026-08-18 - never accept a card city without a geographic check"
"L35","2013-08-17 / 08-18","Dalton Highway, AK","Brand","'?' on both rows","YUKON RIVER CAMP (both). Paper's 'Yukon Crossing' on 8/17 is Kim's own shorthand.","Visa statement names the merchant; amounts 18.33 and 28.97 match the paper exactly","CONFIRMED 2026-08-18"
"L36","2014-05-15","Conover, NC","Price/Gallon","3.690","3.969","2014 scan p3 (already read); 7.119 x 3.969 = 28.25 vs the 28.26 recorded. Brand Murphy USA also confirmed.","CONFIRMED 2026-08-18 - digit transposition 969 -> 690"
"L37","2015-12-20 or 12-26","Lake San Marcos, CA","Date","sheet: 2015-12-26","SHEET IS CORRECT (2015-12-26) - my scan reading of 12/20 was wrong","AMEX 12/26/2015 SHELL OIL SAN MARCOS $19.79 agrees with the sheet. I misread a 6 as a 0 on the scan.","RESOLVED 2026-08-18 - no change to the sheet"
"L38","2016-05-27","Winslow, AZ","(pump identity)","6.346 x 2.439 = 15.48 vs 19.66 recorded","cost $15.48 (gallons 6.346 and price 2.439 were both CORRECT)","PUMP RECEIPT: Hallum Store, 500 W 3rd St, Winslow AZ, 05/27/2016 10:50 AM, 6.346 G @ 2.439 = $15.48 exactly.","RESOLVED 2026-08-18 - receipt-sourced"
"L39","2016-06-04 / 06-09","London KY and Ft. Oglethorpe TN","(no error)","both carry cost 16.23","COINCIDENCE - not contamination","both rows pass the pump identity exactly (5.818 x 2.789 and 6.911 x 2.349). Two fills that happened to cost the same.","CLEARED 2026-08-18 - a control case for the contiguity method"
"L40","2015-05-15","Carlsbad, CA (Costco)","Price/Gallon","4.809","4.089  (gallons 5.401 were CORRECT; only the price was wrong)","KIM'S ORIGINAL COSTCO RECEIPT, 5/15/15: 4.089/gal, total $22.08. 5.401 x 4.089 = 22.08 exactly; the receipt's gallons as read (5.481) gives 22.41 and cannot be right. Same-pump prediction of 4.088 was correct to a thousandth.","RESOLVED 2026-08-18 - receipt AND AMEX both give $22.08; triple-sourced"
"L41","(file)","2015_TwoRed_travel_and_fuel_log_May.pdf","FILENAME","named 'May' / '2015'","header reads Year 2014, Trip Name 'Bush'; rows run 2014-09-19 to 2015-04-26","scan read 2026-08-18; all 7 fuel rows match the sheet EXACTLY, so the page itself is clean","DOCUMENTED - filename is misleading, do not use it to locate a date range"
"L42","2011-10-17","Coarse Gold, CA","Gallons","7.385","7.305","2011 scan p2 read 2026-08-18: the row APPEARS to show 7.385, but a 7.305 written with a slashed zero looks exactly like 7.385 on a scan -- so the scan cannot adjudicate this error class. Arithmetic is decisive: 7.305 x 4.089 = 29.87 exactly, 7.385 gives 30.20. Needs a card or receipt.","OPEN 2026-08-18 - scan is NOT evidence for the 0/8 class; arithmetic favours 7.305"
"L43","2010-11-05","Effingham, IL","Gallons","6.480","REJECTED - do not apply","6.488 would satisfy the arithmetic, but it requires a ZERO in the record to have been an EIGHT on paper. A slashed zero cannot produce that direction. Arithmetic alone would have accepted this; the MECHANISM rejects it.","REJECTED 2026-08-18 - right answer, wrong direction, therefore coincidence"
"L44","2012-02-06","Big Spring, TX","Odometer","Kim's typed transcription: 22,945 | the scan appears to read 22,954","UNDECIDED - last two digits transposed between the two readings","neither test separates them: 22945 gives ratios 0.96/1.31 and MPG 35.4/38.6; 22954 gives 1.00/1.26 and 36.8/37.2. Both plausible. 22954 is marginally better geographically.","OPEN - flag, do not choose"
"L45","2012-02-05 .. 02-07","Ft Worth / Big Spring / Alpine","(confirmation)","sheet held ONE merged row","THREE rows, confirmed from the original scan","2011-2012 scan p4 shows all three rows exactly as Kim transcribed: Ft Worth 3.799/22711/6.584/25.01, Big Spring 3.799/6.608/25.10, Alpine 3.779/23186/6.237/23.57. L20 is now scan-confirmed, not just card-confirmed.","CONFIRMED 2026-08-18 - highest evidence tier"
"L46","2016-09-26","Piercy, CA (Patriot)","Price/Gallon","3.009","3.099  (= 21.18 / 6.834)","PAPER ITSELF READS 3.009 (confirmed at 4x zoom, fall-winter scan p2): two identical closed 'o' glyphs then a clear 9. So this is a FIELD error, NOT a transcription error -- the sheet faithfully copies the paper. Arithmetic requires 3.099 (6.834 x 3.099 = 21.178 = 21.18). Price family Sept-2016 CA: Costco 2.759/2.779, Coos Bay Mobil 2.699, Goleta Chevron 3.199 -- a remote US-101 independent at 3.099 sits between the clubs and the Chevron. ALTERNATIVE not excluded: gallons 7.038 (= 21.18/3.009), which would give 42.2 MPG instead of 43.46. DO NOT BACK-SOLVE -- settle from AMEX/receipt.","FIELD ERROR (reclassified 2026-08-18) - hypothesis 3.099, confirm from AMEX"
"L47","2016-09-22","Carlsbad, CA","Odometer","sheet 66,589 | scan appears to read 66,598","UNDECIDED","Scan reads 66,598 clearly at 4x zoom (fall-winter p1, row 4): digits 6-6-5-9-8. The SCAN IS THE PRIMARY PAPER here and the sheet is the copy, so the sheet's 66,589 looks like a typing transposition. NOT the slashed-zero class (Finding 033), so the scan is admissible evidence. Still not decided by any independent test: the trip log's first leg starts 2016-09-24 at San Marcos, 39 h of local driving after this fill, so 56 mi (if 66,589) or 47 mi (if 66,598) -- both ordinary. MPG either way 31.3/37.4 or 32.6/36.0. Low stakes: no claim depends on it.","HYPOTHESIS 66,598 (upgraded 2026-08-18 from scan) - confirm from Kim's original"
"L48","2016-09-26","Piercy, CA","Odometer","sheet 67,408","SHEET IS CORRECT - my scan reading of 67,488 was WRONG","ECONOMY decides: 67,408 gives 43.5 then 41.2 MPG; 67,488 gives 55.2 then 29.5. A slashed zero in 67,408 reads as an 8 -- I committed the Finding 033 error myself while reading this scan.","RESOLVED 2026-08-18 - no change to the sheet"
"L49","2016-05-25 .. 2016-06-25","FOURTH CROSSING","NO SOURCE DOCUMENT","30 fuel stops, 7,913 miles","NOT IN Projects\Smart_Car\data\Fuel_and_Trip_Logs -- which is NOT the same as 'not scanned'","Kim 2026-08-18: *I scan paper. All paper.* The 15 files I searched are one FOLDER, not his archive. The Fourth Crossing RECEIPTS were not in that folder either and turned up immediately when asked for. So the May-June 2016 log sheet may well exist somewhere else in the scanned archive.","REFRAMED 2026-08-18 - search the wider archive before concluding anything is lost"
"L50","2015 (whole year)","AMEX fuel summary 2015","CROSS-CHECK","16 fuel charges on the card","8 match the TwoRed log exactly; 8 do NOT and are the OTHER cars","7 are Hawaii (6 Costco Honolulu, 1 Tesoro Hilo) and 1 is 7-Eleven ORLANDO FL. TwoRed was on the mainland west all year and never in Florida. Every mainland-west charge matches the log to the cent.","DOCUMENTED 2026-08-18 - the card covers the FLEET, the log covers ONE car"
"L51","2015-01-10 .. 2015-10-31","TwoFer / Honolulu","SCOPE","TwoFer Gas Log ends 2015-01-10 at ODO 1,209 after 7 fills","the CAR did not stop -- 6 further Hawaii fuel charges run Feb-Oct 2015","AMEX 01/10/2015 COSTCO HONOLULU $19.74 matches TwoFer's final logged fill EXACTLY, then the card continues. At TwoFer's own averages (6.675 gal/fill, 31.3 MPG) the 6 unlogged fills are ~1,254 mi, so the log captures roughly HALF of 2015 use. ESTIMATE ONLY - the card gives a count of fills, not gallons or odometers.","DOCUMENTED 2026-08-18 - fourth appearance of the fractal scope boundary, first CONFIRMED by an independent source"
"L52","2016-05-26 / 2016-05-27","Blythe CA / Winslow AZ","cost + gallons","both carry values borrowed from other rows","WITHDRAWN - BOTH ARE ON THE AMEX. My merchant-name filter produced a FALSE NEGATIVE.","Blythe = 'QUICK CHECK WEST' $14.04 (05/26) and Winslow = 'HALLUM STORE' $15.48 (05/27). Both appear on the AMEX statement I had already read; neither merchant name contains a fuel word and neither carried a GAS sub-label, so my classifier rejected them -- and I then reasoned from that absence to the wrong card. The receipts prove the charges were there all along.","WITHDRAWN 2026-08-18 - my classifier failed, not the data"
"L53","2016-06-09","Ft. Oglethorpe","State","Tennessee","GEORGIA","AMEX 06/09/16 COSTCO GAS #1083, FT OGLETHORP GA. Fort Oglethorpe is in Georgia.","CONFIRMED 2026-08-18"
"L54","2016-05-31 / 2016-06-04","Lincoln NE / London KY","(confirmation)","no fuel charge found by my first filter","BOTH ARE ON THE AMEX - my classifier missed them","05/31/16 U-STOP #12, $21.69 (Nebraska fuel chain, sheet says Phillips 66) and 06/04/16 GRAND OIL, $16.23. Neither merchant name matched my fuel patterns and neither carried a GAS sub-label. Also CONFIRMS the London/Ft.Oglethorpe $16.23 pair as a genuine coincidence: two different merchants, five days apart.","RESOLVED 2026-08-18 - and a caution: merchant-name filters under-detect fuel"
"L55","2016-05-26 / 2016-05-27","Blythe CA / Winslow AZ","Brand","sheet: 'Valeor' / 'Conoco'","QUICK CHECK WEST (Mikes Quik Chek) / HALLUM STORE","pump receipts name both merchants; neither is Valero or Conoco","CONFIRMED 2026-08-18"
"L56","2012-05-27","Douglas, WY","Price","16.86","16.06","4.017 x 3.999 = 16.06 exactly. SLASHED-ZERO DIRECTION IS CORRECT: the record holds an 8 where the truth holds a 0. Found by the ingestion re-audit, not by the original sweep.","HYPOTHESIS 2026-08-18 - confirm from AMEX"
"L57","2010-09-20","Deming, NM","Price","20.05","20.85?","7.119 x 2.929 = 20.85. BUT the direction is WRONG for the slashed zero -- the record holds a 0 where truth would hold an 8, which the mechanism cannot produce. Treat with more suspicion than L56.","OPEN - weaker candidate, needs a card"
"L58","2013-08-12","Haines Junction, YT","UNITS","cost now 16.28 USD (L32) but $/gal still 5.374, derived from CAD","the row needs a CURRENCY column, not another patched number","my own L32 fix created a mixed-currency row: 2.969 gal x 5.374 = 15.96 against a USD cost, residual 0.32. USD price would be 16.28/2.969 = 5.483.","OPEN - design issue in the dataset, not a typo"
"L59","2010-11-29","San Marcos, CA (Shell) odo 10,647","Price","19.28","19.20","Finding 033, permitted direction: a SLASHED ZERO reads as an 8, never the reverse. 5.749 x 3.339 = 19.196, exactly the corrected value; the logged value differs only in one 0/8 digit. Systematic control run 2026-08-18 over the 44 rows that FAIL the pump identity: a single 8->0 substitution in the cost fixes 4 of them; the forbidden 0->8 direction fixes 1 (Deming, already flagged as wrong-direction, L57); six control substitutions (3/5, 5/3, 1/7, 7/1, 6/0, 9/4) fix ZERO. SCAN IS NOT EVIDENCE for this class -- the scan is where the illusion lives, and it does show an 8. The FIRST fill in the whole record, and it already carries the signature.","HYPOTHESIS 2026-08-18 (slashed zero) - confirm from AMEX or receipt"
"L60","2011-06-23","San Marcos, CA (Shell) odo 13,683","Price","32.48","32.40","Finding 033, permitted direction: a SLASHED ZERO reads as an 8, never the reverse. 8.101 x 3.999 = 32.396, exactly the corrected value; the logged value differs only in one 0/8 digit. Systematic control run 2026-08-18 over the 44 rows that FAIL the pump identity: a single 8->0 substitution in the cost fixes 4 of them; the forbidden 0->8 direction fixes 1 (Deming, already flagged as wrong-direction, L57); six control substitutions (3/5, 5/3, 1/7, 7/1, 6/0, 9/4) fix ZERO. SCAN IS NOT EVIDENCE for this class -- the scan is where the illusion lives, and it does show an 8. SAME ROW as L01, where the $/gal 3.000/3.999 slip was already proven and applied. Two independent slips in one row -- consistent with Kim's note about writing fast at the pump with a queue behind him.","HYPOTHESIS 2026-08-18 (slashed zero) - confirm from AMEX or receipt"
"L61","2012-05-31","Champaign, IL (Mobil) odo 28,400","Price","29.68","29.60","Finding 033, permitted direction: a SLASHED ZERO reads as an 8, never the reverse. 7.895 x 3.749 = 29.598, exactly the corrected value; the logged value differs only in one 0/8 digit. Systematic control run 2026-08-18 over the 44 rows that FAIL the pump identity: a single 8->0 substitution in the cost fixes 4 of them; the forbidden 0->8 direction fixes 1 (Deming, already flagged as wrong-direction, L57); six control substitutions (3/5, 5/3, 1/7, 7/1, 6/0, 9/4) fix ZERO. SCAN IS NOT EVIDENCE for this class -- the scan is where the illusion lives, and it does show an 8. Read off the Frostburg-2 scan 2026-08-18; the paper shows an 8, as the mechanism predicts it would.","HYPOTHESIS 2026-08-18 (slashed zero) - confirm from AMEX or receipt"
"L62","2016-05-26","Blythe, CA odo 58,415","Brand","Quick Check West","Valero","2016_Fourth_Crossing_Log.pdf, recovered 2026-08-19. The logged value is the AMEX MERCHANT NAME, which I substituted when the paper was believed lost. The paper gives the fuel BRAND. Both are true of the same stop; the brand is the field's intended content.","CONFIRMED 2026-08-19 from the recovered Fourth Crossing log"
"L63","2016-05-27","Winslow, AZ odo 58,746","Brand","Hallum Store","Conoco","Same as L62: 'Hallum Store' is the card merchant, 'Conoco' is the brand on the paper.","CONFIRMED 2026-08-19 from the recovered Fourth Crossing log"
"L64","2016-06-01","Burlington, IA odo 60,242","Brand","Hy-Vse","Hy-Vee","Plain typo in the spreadsheet; the paper reads Hy-Vee.","CONFIRMED 2026-08-19 from the recovered Fourth Crossing log"
"L65","2016-06-10","Cherokee, NC odo 61,610","Gallons","6.002","6.003","Paper reads 6.003, sheet reads 6.002. Both satisfy the pump identity at 3.049 (18.303 / 18.300 vs 18.30 recorded), so arithmetic cannot separate them -- the PAPER is the source and the sheet is the copy.","CONFIRMED 2026-08-19 from the recovered Fourth Crossing log"
