accepted_name,family,common_name,status,rank,n_records,notes,det_conflict,det_conflict_note,verbatim_names
Pinus halepensis,Pinaceae,Aleppo pine,Cult,species,2,planted trial,,,Pinus halepensis Mill. [2]
Pinus patula,Pinaceae,patula pine,Cult,species,2,planted trial,,,Pinus patula Schiede ex Schltdl. & Cham. [2]
Charpentiera obovata,Amaranthaceae,papala,E,species,2,incl. genus-only record,,,Charpentiera obovata Gaudich. [1]; Charpentiera Gaudich. [1]
Cheirodendron trigynum,Araliaceae,olapa,E,species,1,,,,Cheirodendron trigynum (Gaudich.) A.Heller [1]
Asplenium macraei,Aspleniaceae,,E,species,1,,,,Asplenium macraei Hook. & Grev. [1]
Dubautia ciliolata,Asteraceae,naenae,E,species,1,,,,Dubautia ciliolata (DC.) D.D.Keck [1]
Diplazium sandwichianum,Athyriaceae,hoio,E,species,2,,,,Diplazium sandwichianum (C.Presl) Diels [2]
Sadleria rigida,Blechnaceae,amau,E,species,1,,,,Sadleria rigida Copel. [1]
Clermontia hawaiiensis,Campanulaceae,oha wai,E,species,2,,,,Clermontia hawaiiensis (Hillebr.) Rock [1]; Clermontia hawaiiensis var. hawaiiensis [1]
Clermontia parviflora,Campanulaceae,oha wai,E,species,2,,,,Clermontia parviflora Gaudich. ex A.Gray [2]
Cyanea floribunda,Campanulaceae,haha,E,species,2,,,,Cyanea floribunda E.Wimm. [2]
Cibotium glaucum,Cibotiaceae,hapuu pulu,E,species,1,,,,Cibotium glaucum (Sm.) Hook. & Arn. [1]
Cyperus hillebrandii,Cyperaceae,,E,species,1,,,,Cyperus hillebrandii Boeckeler [1]
Perrottetia sandwicensis,Dipentodontaceae,olomea,E,species,1,,,,Perrottetia sandwicensis A.Gray [1]
Dryopteris fuscoatra,Dryopteridaceae,iiii,E,species,1,,,,Dryopteris fuscoatra (Hillebr.) W.J.Rob. [1]
Dryopteris glabra,Dryopteridaceae,kilau,E,species,1,,,,Dryopteris glabra (Brack.) Kuntze [1]
Dryopteris hawaiiensis,Dryopteridaceae,,E,species,1,,,,Dryopteris hawaiiensis (Hillebr.) W.J.Rob. [1]
Elaphoglossum crassifolium,Dryopteridaceae,ekaha,E,species,1,,,,Elaphoglossum crassifolium (Gaudich.) W.R.Anderson & Crosby [1]
Elaphoglossum wawrae,Dryopteridaceae,ekaha,E,species,1,,,,Elaphoglossum wawrae (Luerss.) C.Chr. [1]
Vaccinium reticulatum,Ericaceae,ohelo,E,species,1,,,,Vaccinium reticulatum Sm. [1]
Acacia koa,Fabaceae,koa,E,species,4,,,,Racosperma koa (A.Gray) Pedley [4]
Sophora chrysophylla,Fabaceae,mamane,E,species,3,,,,Sophora chrysophylla (Salisb.) Seem. [3]
Cyrtandra platyphylla,Gesneriaceae,haiwale,E,species,4,,,,Cyrtandra platyphylla A.Gray [4]
Scaevola chamissoniana,Goodeniaceae,naupaka kuahiwi,E,species,2,incl. var. bracteosa,,,Scaevola chamissoniana Gaudich. [1]; Scaevola chamissoniana var. bracteosa Hillebr. [1]
Stenogyne calaminthoides,Lamiaceae,,E,species,2,,,,Stenogyne calaminthoides A.Gray [2]
Stenogyne rotundifolia,Lamiaceae,,E,species,1,,,,Stenogyne rotundifolia A.Gray [1]
Stenogyne rugosa,Lamiaceae,maohiohi,E,species,2,,,,Stenogyne rugosa Benth. [2]
Stenogyne scrophularioides,Lamiaceae,,E,species,2,,,,Stenogyne scrophularioides Benth. [2]
Stenogyne sp.,Lamiaceae,,E,genus,1,genus-level record,,,Stenogyne Benth. [1]
Hibiscadelphus giffardianus,Malvaceae,hau kuahiwi,E,species,5,extinct in wild; type locality Kipuka Puaulu,,,Hibiscadelphus giffardianus Rock [5]
Hibiscadelphus hualalaiensis,Malvaceae,hau kuahiwi,E,species,3,"extinct in wild; Hualalai sp., likely outplanted/cultivated here",,,Hibiscadelphus hualalaiensis Rock [3]
Metrosideros polymorpha,Myrtaceae,ohia lehua,E,species,13,incl. 4 varieties + M. collina (syn.),,,Metrosideros polymorpha Gaudich. [6]; Metrosideros polymorpha var. incana (H.Lev.) Skottsb. [3]; Metrosideros collina (Forst.) A.Gray [1]; Metrosideros polymorpha var. glabrifolia (A.Heller) H.St.John [1]; Metrosideros polymorpha var. polymorpha [1]; Metrosideros polymorpha var. pumila (A.Heller) Skottsb. [1]
Pisonia sandwicensis,Nyctaginaceae,papala kepau / aulu,E,species,1,,,,Pisonia sandwicensis Hillebr. [1]
Nestegis sandwicensis,Oleaceae,olopua,E,species,3,,,,"Nestegis sandwicensis (A.Gray) O.Deg., I.Deg. & L.A.S.Johnson [3]"
Peperomia cookiana,Piperaceae,alaala wai nui,E,species,6,,,,Peperomia cookiana C.DC. [6]
Pittosporum hosmeri,Pittosporaceae,hoawa,E,species,3,incl. genus-only record,,,Pittosporum hosmeri Rock [2]; Pittosporum Gaertn. [1]
Myrsine lessertiana,Primulaceae,kolea lau nui,E,species,3,,,,Myrsine lessertiana A.DC. [3]
Alphitonia ponderosa,Rhamnaceae,kauila,E,species,2,,,,Alphitonia ponderosa Hillebr. [2]
Coprosma ernodeoides,Rubiaceae,kukaenene,E,species,1,,,,Coprosma ernodeoides A.Gray [1]
Coprosma menziesii,Rubiaceae,pilo,E,species,1,,,,Coprosma menziesii A.Gray [1]
Coprosma ochracea,Rubiaceae,pilo,E,species,1,,,,Coprosma ochracea W.R.B.Oliv. [1]
Coprosma rhynchocarpa,Rubiaceae,pilo,E,species,4,,,,Coprosma rhynchocarpa A.Gray [4]
Coprosma sp.,Rubiaceae,pilo,E,genus,1,genus-level record,,,Coprosma J.R.Forst. & G.Forst. [1]
Kadua centranthoides,Rubiaceae,manono,E,species,2,formerly Hedyotis,,,Kadua centranthoides Hook. & Arn. [2]
Psychotria hawaiiensis,Rubiaceae,kopiko,E,species,3,incl. Straussia hillebrandii (syn.),,,Psychotria hawaiiensis (A.Gray) Fosberg [1]; Straussia hillebrandii Rock [2]
Melicope cinerea,Rutaceae,alani,E,species,1,,,,Melicope cinerea A.Gray [1]
Melicope pseudoanisata,Rutaceae,alani,E,species,12,,,,Melicope pseudoanisata (Rock) T.G.Hartley & B.C.Stone [12]
Zanthoxylum dipetalum,Rutaceae,kawau / a'e,E,species,1,,,,Zanthoxylum dipetalum H.Mann [1]
Sapindus oahuensis,Sapindaceae,aulu / lonomea,E,species,1,,,,Sapindus oahuensis Hillebr. ex Radlk. [1]
Wikstroemia sandwicensis,Thymelaeaceae,akia,E,species,5,,,,Wikstroemia sandwicensis Meisn. [5]
Pipturus albidus,Urticaceae,mamaki,E,species,7,incl. P. hawaiiensis (syn.),,,Pipturus albidus (Hook. & Arn.) A.Gray [3]; Pipturus albidus (Hook. & Arn.) A.Gray ex H.Mann [3]; Pipturus hawaiiensis H.Lev. [1]
Alyxia stellata,Apocynaceae,maile,I,species,5,formerly A. oliviformis,,,Alyxia stellata (J.R.Forst. & G.Forst.) Roem. & Schult. [5]
Ilex anomala,Aquifoliaceae,kawau / aiea,I,species,4,,,,Ilex anomala Hook. & Arn. [4]
Dianella sandwicensis,Asphodelaceae,ukiuki,I,species,4,incl. D. lavarum (syn.),,,Dianella sandwicensis Hook. & Arn. [3]; Dianella lavarum O.Deg. [1]
Asplenium adiantum-nigrum,Aspleniaceae,iwaiwa,I,species,4,,,,Asplenium adiantum-nigrum L. [4]
Asplenium contiguum,Aspleniaceae,,I,species,1,,,,Asplenium contiguum Kaulf. [1]
Asplenium sp.,Aspleniaceae,,I,genus,3,genus-level records,,,Asplenium L. [3]
Ipomoea indica,Convolvulaceae,koali awa,I,species,1,,,,Ipomoea indica (Burm.) Merr. [1]
Morelotia affinis,Cyperaceae,,I,species,1,native sedge,,,Morelotia affinis (Brongn.) S.T.Blake [1]
Microlepia speluncae,Dennstaedtiaceae,,I,species,2,,,,Microlepia speluncae (L.) T.Moore [2]
Microlepia strigosa,Dennstaedtiaceae,palapalai,I,species,5,incl. var. hirta,,,Microlepia strigosa (Thunb.) C.Presl [4]; Microlepia strigosa var. hirta (Kaulf.) Hillebr. [1]
Pteridium aquilinum,Dennstaedtiaceae,kilau (bracken),I,species,5,var./subsp. decompositum,,,Pteridium aquilinum var. decompositum (Gaudich.) R.M.Tryon [4]; Pteridium aquilinum subsp. decompositum (Gaudich.) Lamoureux ex J.A.Thomson [1]
Cyrtomium caryotideum,Dryopteridaceae,,I,species,3,,,,Cyrtomium caryotideum (Wall. ex Hook. & Grev.) C.Presl [3]
Dryopteris wallichiana,Dryopteridaceae,laukahi,I,species,3,incl. D. paleacea (syn.),,,Dryopteris wallichiana (Spreng.) Hyl. [2]; Dryopteris paleacea (Lag. ex Sw.) C.Chr. [1]
Elaphoglossum hirtum,Dryopteridaceae,ekaha,I,species,4,var. micans,,,Elaphoglossum hirtum var. micans (Mett.) C.Chr. [4]
Elaphoglossum paleaceum,Dryopteridaceae,ekaha,I,species,1,,,,Elaphoglossum paleaceum (Hook. & Grev.) Sledge [1]
Styphelia tameiameiae,Ericaceae,pukiawe,I,species,1,,,,Styphelia tameiameiae (Cham.) F.Muell. [1]
Dicranopteris linearis,Gleicheniaceae,uluhe,I,species,1,recorded as D. pectinata (misapplied),,,Dicranopteris pectinata (Willd.) Underw. [1]
Sphenomeris chinensis,Lindsaeaceae,palaa,I,species,2,= Odontosoria chinensis,,,Sphenomeris chinensis (L.) Maxon [2]
Nephroia orbiculata,Menispermaceae,huehue,I,species,4,= Cocculus orbiculatus,,,Cocculus orbiculatus (L.) DC. [2]; Nephroia orbiculata (L.) L.Lian & Wei Wang [2]
Nephrolepis biserrata,Nephrolepidaceae,okupukupu,I,species,1,,,,Nephrolepis biserrata (Sw.) Schott [1]
Nephrolepis cordifolia,Nephrolepidaceae,kupukupu,I,species,1,,,,Nephrolepis cordifolia (L.) C.Presl [1]
Nephrolepis exaltata,Nephrolepidaceae,kupukupu,I,species,2,native subsp. hawaiiensis,,,Nephrolepis exaltata (L.) Schott [2]
Pisonia brunoniana,Nyctaginaceae,papala kepau,I,species,1,,,,Pisonia brunoniana Endl. [1]
Pisonia umbellifera,Nyctaginaceae,papala kepau,I,species,1,,,,Pisonia umbellifera (J.Forst. & G.Forst.) Seem. [1]
Freycinetia arborea,Pandanaceae,ieie,I,species,6,,,,Freycinetia arborea Gaudich. [6]
Peperomia blanda,Piperaceae,alaala wai nui,I,species,2,var. floribunda,,,Peperomia blanda var. floribunda (Miq.) H.Huber [2]
Peperomia tetraphylla,Piperaceae,alaala wai nui,I,species,1,var. parvifolia,,,Peperomia tetraphylla var. parvifolia (C.DC.) O.Deg. & I.Deg. [1]
Persicaria punctata,Polygonaceae,kamole,I,species,2,= Polygonum punctatum,,,Persicaria punctata (Elliott) Small [2]
Ctenopteris sp.,Polypodiaceae,,I,genus,1,native grammitid fern; genus-level,,,Ctenopteris Blume ex Kunze [1]
Lepisorus thunbergianus,Polypodiaceae,pakahakaha,I,species,2,incl. Pleopeltis thunbergiana (syn.),,,Lepisorus thunbergianus (Kaulf.) Ching [1]; Pleopeltis thunbergiana Kaulf. [1]
Pellaea ternifolia,Pteridaceae,kalamoho,I,species,1,,,,Pellaea ternifolia (Cav.) Fee [1]
Pteris cretica,Pteridaceae,owali,I,species,1,,,,Pteris cretica L. [1]
Dodonaea viscosa,Sapindaceae,aalii,I,species,5,,,,Dodonaea viscosa (L.) Jacq. [5]
Sapindus saponaria,Sapindaceae,manele / a'e,I,species,4,status sometimes questioned,,,Sapindus saponaria L. [2]; Sapindus saponaria var. saponaria [2]
Myoporum sandwicense,Scrophulariaceae,naio,I,species,3,incl. genus-only record,,,Myoporum sandwicense (A.DC.) A.Gray [2]; Myoporum Banks & Sol. ex G.Forst. [1]
Solanum americanum,Solanaceae,popolo,I,species,1,,,,Solanum americanum Mill. [1]
Achillea millefolium,Asteraceae,yarrow,Nat,species,1,,,,Achillea millefolium L. [1]
Ageratina riparia,Asteraceae,Hamakua pamakani,Nat,species,4,,,,Ageratina riparia (Regel) R.M.King & H.Rob. [4]
Hypochaeris radicata,Asteraceae,hairy catsear / gosmore,Nat,species,3,,,,Hypochaeris radicata L. [2]; Hypochoeris radicata L. [1]
Leucanthemum vulgare,Asteraceae,oxeye daisy,Nat,species,2,,,,Leucanthemum vulgare Lam. [2]
Pluchea carolinensis,Asteraceae,sourbush,Nat,species,2,,,,Pluchea carolinensis (Jacq.) G.Don [2]
Youngia japonica,Asteraceae,oriental hawksbeard,Nat,species,4,,,,Youngia japonica (L.) DC. [4]
Cynoglossum amabile,Boraginaceae,Chinese forget-me-not,Nat,species,6,,,,Cynoglossum amabile Stapf & J.R.Drumm. [6]
Brassica sp.,Brassicaceae,mustard,Nat,genus,1,genus-level record,,,Brassica L. [1]
Cardamine flexuosa,Brassicaceae,bittercress,Nat,species,2,incl. C. occulta,,,Cardamine flexuosa With. [1]; Cardamine occulta Hornem. [1]
Cerastium fontanum,Caryophyllaceae,mouse-ear chickweed,Nat,species,2,,review,"Sole Bishop sheet 656108 (Cuddihy 1980): BISH det as C. holosteoides (= C. fontanum), BPBM det Cerastium glomeratum (not otherwise in the flora).",Cerastium fontanum subsp. triviale (E.H.L.Krause) Jalas [1]; Cerastium fontanum subsp. vulgare (Hartm.) Greuter & Burdet [1]
Bulbostylis capillaris,Cyperaceae,,Nat,species,1,,,,Bulbostylis capillaris (L.) Kunth ex C.B.Clarke [1]
Cyperus brevifolius,Cyperaceae,green kyllinga,Nat,species,2,= Kyllinga brevifolia,,,Cyperus brevifolius (Rottb.) Hassk. [1]; Kyllinga brevifolia Rottb. [1]
Medicago lupulina,Fabaceae,black medick,Nat,species,2,,,,Medicago lupulina L. [2]
Mimosa pudica,Fabaceae,sensitive plant,Nat,species,4,var. unijuga,,,Mimosa pudica var. unijuga (Duchass. & Walp.) Griseb. [4]
Trifolium repens,Fabaceae,white clover,Nat,species,2,,,,Trifolium repens subsp. repens [1]; Trifolium repens var. repens [1]
Centaurium erythraea,Gentianaceae,common centaury,Nat,species,2,,,,Centaurium erythraea subsp. erythraea [1]; Centaurium erythraea var. erythraea [1]
Geranium carolinianum,Geraniaceae,Carolina cranesbill,Nat,species,1,,,,Geranium carolinianum L. [1]
Cuphea carthagenensis,Lythraceae,tarweed cuphea,Nat,species,2,,,,Cuphea carthagenensis (Jacq.) J.F.Macbr. [2]
Modiola caroliniana,Malvaceae,Carolina bristlemallow,Nat,species,4,,,,Modiola caroliniana (L.) G.Don [4]
Morella faya,Myricaceae,firetree / faya,Nat,species,1,= Myrica faya; highly invasive,,,Myrica faya (Dryand.) Aiton [1]
Psidium cattleyanum,Myrtaceae,strawberry guava / waiawi,Nat,species,2,,,,Psidium cattleianum var. cattleianum [2]
Psidium guajava,Myrtaceae,common guava / kuawa,Nat,species,4,,,,Psidium guajava L. [4]
Nephrolepis multiflora,Nephrolepidaceae,Asian swordfern,Nat,species,1,invasive,,,Nephrolepis multiflora (Roxb. ex Griff.) F.M.Jarrett ex C.V.Morton [1]
Ludwigia palustris,Onagraceae,marsh seedbox,Nat,species,1,,doubtful,Sole specimen = Bishop sheet 656953 (Cuddihy 1980); BPBM dets it Hedyotis biflora. Exactly one of the two is real.,Ludwigia palustris (L.) Elliott [1]
Nuttallanthus canadensis,Plantaginaceae,blue toadflax,Nat,species,3,incl. Linaria texana,,,Nuttallanthus canadensis (L.) D.A.Sutton [1]; Linaria texana Scheele [2]
Agrostis stolonifera,Poaceae,creeping bentgrass,Nat,species,2,,,,Agrostis stolonifera L. [2]
Aira caryophyllea,Poaceae,silver hairgrass,Nat,species,1,var. capillaris,,,Aira caryophyllea var. capillaris (Host) Mutel [1]
Andropogon virginicus,Poaceae,broomsedge,Nat,species,2,,,,Andropogon virginicus L. [1]; Andropogon virginicus var. virginicus [1]
Anthoxanthum odoratum,Poaceae,sweet vernalgrass,Nat,species,1,,,,Anthoxanthum odoratum L. [1]
Axonopus fissifolius,Poaceae,carpetgrass,Nat,species,2,,,,Axonopus fissifolius (Raddi) Kuhlm. [2]
Briza minor,Poaceae,little quakinggrass,Nat,species,2,,,,Briza minor L. [2]
Dactylis glomerata,Poaceae,orchardgrass,Nat,species,2,,,,Dactylis glomerata L. [2]
Digitaria eriantha,Poaceae,pangola grass,Nat,species,2,,,,Digitaria eriantha Steud. [2]
Digitaria violascens,Poaceae,,Nat,species,1,,,,Digitaria violascens Link [1]
Lachnagrostis filiformis,Poaceae,,Nat,species,3,= Agrostis avenacea,,,Lachnagrostis filiformis (G.Forst.) Trin. [2]; Agrostis avenacea J.F.Gmel. [1]
Lolium multiflorum,Poaceae,Italian ryegrass,Nat,species,2,,,,Lolium multiflorum Lam. [2]
Melinis minutiflora,Poaceae,molasses grass,Nat,species,6,,,,Melinis minutiflora P.Beauv. [6]
Melinis repens,Poaceae,Natal redtop,Nat,species,1,,,,Melinis repens (Willd.) Zizka [1]
Microlaena stipoides,Poaceae,meadow ricegrass,Nat,species,2,,,,Microlaena stipoides (Labill.) R.Br. [2]
Schizachyrium condensatum,Poaceae,bush beardgrass,Nat,species,1,invasive,,,Schizachyrium condensatum (Kunth) Nees [1]
Schizachyrium microstachyum,Poaceae,,Nat,species,1,,,,"Schizachyrium microstachyum (Desv.) Roseng., B.R.Arrill. & Izag. [1]"
Setaria parviflora,Poaceae,yellow foxtail / mau'u,Nat,species,4,,,,Setaria parviflora (Poir.) Kerguelen [4]
Sporobolus indicus,Poaceae,smutgrass,Nat,species,1,,,,Sporobolus indicus (L.) R.Br. [1]
Stenotaphrum secundatum,Poaceae,St. Augustine grass,Nat,species,2,,,,Stenotaphrum secundatum (Walter) Kuntze [2]
Vulpia bromoides,Poaceae,brome fescue,Nat,species,4,= Festuca bromoides,,,Festuca bromoides L. [2]; Vulpia bromoides (L.) Gray [2]
Rumex acetosella,Polygonaceae,sheep sorrel,Nat,species,4,,,,Rumex acetosella L. [4]
Pityrogramma calomelanos,Pteridaceae,silverback fern,Nat,species,1,,,,Pityrogramma calomelanos (L.) Link [1]
Anemone hupehensis,Ranunculaceae,Japanese anemone,Nat,species,2,garden escape,,,Anemone hupehensis (E.Lemoine) E.Lemoine [1]; Anemone hupehensis var. japonica (Thunb.) Bowles & Stearn [1]
Fragaria vesca,Rosaceae,wild strawberry,Nat,species,4,,,,Fragaria vesca L. [4]
Pyracantha angustifolia,Rosaceae,narrowleaf firethorn,Nat,species,1,,doubtful,Sole specimen = Bishop sheet 770507 (Cuddihy 1979); BISH dets it Pyracantha koidzumii. Presence rests on the contested det.,Pyracantha angustifolia (Franch.) C.K.Schneid. [1]
Pyracantha koidzumii,Rosaceae,firethorn,Nat,species,3,,review,One sheet (Bishop 770507) is alternately det Pyracantha angustifolia by BPBM; taxon secure (other records).,Pyracantha koidzumii (Hayata) Rehder [3]
Rubus ellipticus,Rosaceae,yellow Himalayan raspberry,Nat,species,2,var. obcordatus; highly invasive,,,Rubus ellipticus var. obcordatus (Franch.) Focke [2]
Buddleja asiatica,Scrophulariaceae,dogtail,Nat,species,4,,,,Buddleja asiatica Lour. [4]
Physalis peruviana,Solanaceae,poha / cape gooseberry,Nat,species,4,,,,Physalis peruviana L. [4]
Solanum pseudocapsicum,Solanaceae,Jerusalem cherry,Nat,species,1,,,,Solanum pseudocapsicum L. [1]
Stachytarpheta australis,Verbenaceae,,Nat,species,6,,,,Stachytarpheta australis Moldenke [6]
Verbena litoralis,Verbenaceae,owi,Nat,species,2,,,,Verbena litoralis Kunth [2]
