year,month,day,date,temp_max_f,temp_min_f,precip_type,precip_total_in,snow_on_ground_in,source_page,ocr_confidence,notes
1950,3,14,1950-03-14,39,33,Snow Showers,0.001,0,11-12,high,
1950,3,15,1950-03-15,39,33,,,0,11-12,high,
1950,3,16,1950-03-16,37,32,,,0,11-12,high,
1950,3,17,1950-03-17,37,30,,,0,11-12,high,
1950,3,18,1950-03-18,38,30.5,Rain,0.001,0,11-12,high,
1950,3,19,1950-03-19,36,30,Rain Showers,0.001,0,11-12,high,
1950,3,20,1950-03-20,34,29,,,0,11-12,high,
1950,3,21,1950-03-21,34,29,Snow Showers,0.001,0.001,11-12,high,
1950,3,22,1950-03-22,30,25,,,0.001,11-12,medium,
1950,3,23,1950-03-23,32,27,Snow,0.05,3,11-12,medium,Snow on ground value uncertain
1950,3,24,1950-03-24,34,29,,,0.001,11-12,high,
1950,3,25,1950-03-25,34,30,Snow Showers,0.03,0.001,11-12,high,
1950,3,26,1950-03-26,36,29,Rain & Drizzle,0.001,0.001,11-12,high,
1950,3,27,1950-03-27,38,33,Drizzle,0.001,0,11-12,high,
1950,3,28,1950-03-28,36,30,Drizzle,0.001,0,11-12,high,
1950,3,29,1950-03-29,35,30,,,0,11-12,high,
1950,3,30,1950-03-30,38,29,,,0,11-12,high,
1950,3,31,1950-03-31,38,34,,,0,11-12,high,
1950,4,1,1950-04-01,38,28,Snow Showers,0.001,0,12,high,
1950,4,2,1950-04-02,35,28,Snow Showers,0.001,0,12,high,
1950,4,3,1950-04-03,34,26,,,0,12,high,
1950,4,4,1950-04-04,36,28,,,0,12,high,
1950,4,5,1950-04-05,37,29,Drizzle,0.001,0,12,high,
1950,4,6,1950-04-06,40,32,Rain,0.001,0,12,high,
1950,4,7,1950-04-07,39,34,Rain Showers,0.001,0,12,high,
1950,4,8,1950-04-08,38,33,Rain Showers,0.001,0,12,high,
1950,4,9,1950-04-09,39,34,Rain Showers,0.001,0,12,high,
1950,4,10,1950-04-10,38,33,Rain Showers,0.001,0,12,high,
1950,4,11,1950-04-11,43,34,Drizzle & Snow,0.1,0,12,medium,Precip type may be 'Drizzle & Sleet'
1950,4,12,1950-04-12,38,33,Snow Showers,0.001,0,12,high,
1950,4,13,1950-04-13,38,34,,,0,12,high,
1950,4,14,1950-04-14,37,31,,,0,12,high,
1950,4,15,1950-04-15,37,32,Rain & Snow,0.001,0,12,high,
1950,4,16,1950-04-16,37,31,Snow Showers,0.001,0,12,high,
1950,4,17,1950-04-17,39,35,Rain Showers,0.001,0,12,high,
1950,4,18,1950-04-18,38,33,Rain & Drizzle,0.001,0,12,high,
1950,4,19,1950-04-19,39,33,,,0,12,high,
1950,4,20,1950-04-20,37,31,Rain & Snow,0.04,0,12,medium,Precip total uncertain
1950,4,21,1950-04-21,38,33,Rain Showers,0.001,0,12,high,
1950,4,22,1950-04-22,36,31,Rain Showers,0.001,0.001,12,medium,
1950,4,23,1950-04-23,36,31,Snow Showers,0.001,0.001,12,high,
1950,4,24,1950-04-24,35,31,Rain Showers,0.001,0.001,12,high,
1950,4,25,1950-04-25,38,33,Rain & Snow Showers,0.001,0.001,12,high,
1950,4,26,1950-04-26,40,33,Rain & Drizzle,0.001,0,12,high,
1950,4,27,1950-04-27,42,33,Rain & Drizzle,0.09,0,12,medium,Precip could be .03
1950,4,28,1950-04-28,38,33,Drizzle,0.001,0.001,12,high,
1950,4,29,1950-04-29,38,34,Snow Showers,0.001,0.001,12,high,
1950,4,30,1950-04-30,38,34,Rain Showers,0.001,0.001,12,high,
1950,5,1,1950-05-01,34.4,27,Snow Showers,0.001,0,12-13,high,Start on page 12
1950,5,2,1950-05-02,34,28,,,0,12-13,high,
1950,5,3,1950-05-03,36,28,Snow Showers,0.06,0,12-13,medium,
1950,5,4,1950-05-04,38,30,,,0,12-13,high,
1950,5,5,1950-05-05,34,26.5,Snow,0.14,0,12-13,medium,Start on page 13
1950,5,6,1950-05-06,38,28,,,0,12-13,high,
1950,5,7,1950-05-07,40,30,,,0,12-13,high,
1950,5,8,1950-05-08,42,34.4,Drizzle & Snow,0.21,0,12-13,medium,Precip type partially obscured
1950,5,9,1950-05-09,39,31,Drizzle & Snow,0.17,0.001,12-13,medium,
1950,5,10,1950-05-10,42,34.5,,,0,12-13,high,
1950,5,11,1950-05-11,40,35,Snow Showers,0.001,0,12-13,high,
1950,5,12,1950-05-12,39,30,Rain & Snow,0.05,0,12-13,high,
1950,5,13,1950-05-13,40,34,Drizzle,0.001,0,12-13,high,
1950,5,14,1950-05-14,39,32,Drizzle,0.001,0,12-13,high,
1950,5,15,1950-05-15,40,33,Rain,0.28,0,12-13,medium,Precip may be .28 or .23
1950,5,16,1950-05-16,40,34,Drizzle,0.001,0,12-13,high,
1950,5,17,1950-05-17,42,36,Drizzle,0.001,0,12-13,high,
1950,5,18,1950-05-18,43,35,Rain Showers,0.001,0.001,12-13,high,
1950,5,19,1950-05-19,43,34,Drizzle,0.001,0,12-13,high,
1950,5,20,1950-05-20,44,35,Drizzle,0.001,0,12-13,high,
1950,5,21,1950-05-21,46,37,,,0,12-13,high,
1950,5,22,1950-05-22,46,36,,,0,12-13,high,
1950,5,23,1950-05-23,42,34,Drizzle,0.16,0,12-13,medium,
1950,5,24,1950-05-24,42,35,Drizzle,0.001,0,12-13,high,
1950,5,25,1950-05-25,40,34,Drizzle,0.001,0,12-13,high,
1950,5,26,1950-05-26,40,35,Rain & Drizzle,0.09,0,12-13,medium,
1950,5,27,1950-05-27,42,36,Drizzle,0.001,0,12-13,high,
1950,5,28,1950-05-28,45,36,Drizzle,0.001,0,12-13,high,
1950,5,29,1950-05-29,44.7,37,Drizzle,0.001,0,12-13,high,
1950,5,30,1950-05-30,43.4,40.1,Drizzle,0.2,0,12-13,medium,Min seems high relative to Max
1950,5,31,1950-05-31,43.4,40.1,Drizzle,0.2,0,12-13,medium,Values may be repeated from day 30; ditto marks?
1950,6,1,1950-06-01,38,35,Drizzle,0.001,0,13,high,
1950,6,2,1950-06-02,41,36,,,0,13,high,
1950,6,3,1950-06-03,40,34.5,,,0,13,high,
1950,6,4,1950-06-04,40,34,Drizzle,0.001,0,13,high,
1950,6,5,1950-06-05,42,36,Drizzle,0.001,0,13,high,
1950,6,6,1950-06-06,44,37,Rain & Drizzle,0.04,0,13,medium,Precip could be .04 or .01
1950,6,7,1950-06-07,42,38,,,0,13,high,
1950,6,8,1950-06-08,41.5,38,Rain,0.41,0,13,medium,Precip total may be .11
1950,6,9,1950-06-09,42,38.4,Drizzle,0.001,0,13,high,
1950,6,10,1950-06-10,44,39,Drizzle,0.001,0,13,high,
1950,6,11,1950-06-11,44,37,Rain,0.1,0,13,medium,
1950,6,12,1950-06-12,45.5,38,Drizzle,0.001,0,13,high,
1950,6,13,1950-06-13,44,39,Drizzle,0.001,0,13,high,
1950,6,14,1950-06-14,46,39,Rain,0.09,0,13,medium,
1950,6,15,1950-06-15,47,39,Drizzle,0.001,0,13,high,
1950,6,16,1950-06-16,47,40,Drizzle,0.001,0,13,high,
1950,6,17,1950-06-17,51,41,Drizzle,0.001,0,13,high,
1950,6,18,1950-06-18,46,38,Rain,0.19,0,13,medium,
1950,6,19,1950-06-19,45.4,37,Drizzle,0.001,0,13,high,
1950,6,20,1950-06-20,44.4,37,Drizzle,0.001,0,13,high,
1950,6,21,1950-06-21,44,37,Rain & Drizzle,0.09,0,13,medium,
1950,6,22,1950-06-22,44.5,37.8,Rain & Drizzle,0.001,0,13,high,
1950,6,23,1950-06-23,44.4,37.4,Drizzle,0.001,0,13,high,
1950,6,24,1950-06-24,44.4,39.6,Rain & Drizzle,0.07,0,13,medium,
1950,6,25,1950-06-25,46,38,Drizzle,0.001,0,13,high,
1950,6,26,1950-06-26,46,40,Drizzle,0.001,0,13,high,
1950,6,27,1950-06-27,44.4,37.4,Drizzle,0.09,0,13,medium,
1950,6,28,1950-06-28,44.4,37.8,Drizzle,0.001,0,13,high,
1950,6,29,1950-06-29,43,37,Drizzle,0.2,0,13,medium,
1950,6,30,1950-06-30,43.4,40.1,Drizzle,0.2,0,13,medium,
1950,7,1,1950-07-01,44.4,38,Drizzle,0.001,0,14,high,
1950,7,2,1950-07-02,44.4,38,Drizzle,0.001,0,14,high,
1950,7,3,1950-07-03,49,40,Drizzle,0.001,0,14,high,
1950,7,4,1950-07-04,51,42,,,0,14,high,
1950,7,5,1950-07-05,48,40,,,0,14,high,
1950,7,6,1950-07-06,48,38,Drizzle,0.001,0,14,high,
1950,7,7,1950-07-07,47,38,Drizzle,0.03,0,14,medium,
1950,7,8,1950-07-08,47,38,Drizzle,0.001,0,14,high,
1950,7,9,1950-07-09,48,40,Drizzle,0.001,0,14,high,
1950,7,10,1950-07-10,46,38,,,0,14,high,
1950,7,11,1950-07-11,49,40.5,Rain,0.1,0,14,medium,
1950,7,12,1950-07-12,48,38,Drizzle,0.001,0,14,high,
1950,7,13,1950-07-13,50,41,Rain and Drizzle,0.001,0,14,high,
1950,7,14,1950-07-14,53.5,44.5,Rain and Drizzle,0.001,0,14,high,
1950,7,15,1950-07-15,54.4,43,Rain and Drizzle,0.03,0,14,medium,
1950,7,16,1950-07-16,55,43,,,0,14,high,
1950,7,17,1950-07-17,56,44,,,0,14,high,
1950,7,18,1950-07-18,52,42,,,0,14,high,
1950,7,19,1950-07-19,50,40,Drizzle,0.001,0,14,high,
1950,7,20,1950-07-20,49,40,Drizzle and Fog,0.001,0,14,high,
1950,7,21,1950-07-21,48,39,Rain and Drizzle,0.001,0,14,high,
1950,7,22,1950-07-22,48,39,,,0,14,high,
1950,7,23,1950-07-23,50,42,Drizzle,0.001,0,14,high,
1950,7,24,1950-07-24,51.4,42,Fog and Drizzle,0.03,0,14,medium,
1950,7,25,1950-07-25,50.5,42,Fog and Drizzle,0.001,0,14,high,
1950,7,26,1950-07-26,54,44,Drizzle,0.001,0,14,high,
1950,7,27,1950-07-27,53,43,Rain,0.1,0,14,medium,
1950,7,28,1950-07-28,54,44,Rain and Drizzle,0.23,0,14,medium,Precip total may be .03
1950,7,29,1950-07-29,50,43,Drizzle,0.001,0,14,high,
1950,7,30,1950-07-30,50,44,Rain and Drizzle,0.09,0,14,medium,
1950,7,31,1950-07-31,52,42,Drizzle,0.09,0,14,medium,
1950,8,1,1950-08-01,53.1,46.2,Rain and Drizzle,0.3,0,14-15,medium,Start on page 14
1950,8,2,1950-08-02,52,42,Drizzle,0.001,0,14-15,high,
1950,8,3,1950-08-03,51.4,43.1,Rain,1.02,0,14-15,high,High precip day
1950,8,4,1950-08-04,54,44,Drizzle,0.08,0,14-15,high,Start on page 15
1950,8,5,1950-08-05,52,42,Drizzle,0.001,0,14-15,high,
1950,8,6,1950-08-06,48,40,Drizzle,0.001,0,14-15,high,
1950,8,7,1950-08-07,55,41,,,0,14-15,high,
1950,8,8,1950-08-08,53,42,Drizzle,0.001,0,14-15,high,
1950,8,9,1950-08-09,52,42,Fog,0.001,0,14-15,high,
1950,8,10,1950-08-10,50,41,,,0,14-15,high,
1950,8,11,1950-08-11,52,40,Rain and Drizzle,0.001,0,14-15,high,
1950,8,12,1950-08-12,53.3,40.5,Rain and Drizzle,1.3,0,14-15,high,High precip day
1950,8,13,1950-08-13,52,43,Rain,0.5,0,14-15,high,
1950,8,14,1950-08-14,54,42,Drizzle,0.001,0,14-15,high,
1950,8,15,1950-08-15,56,42,Rain and Drizzle,0.12,0,14-15,medium,
1950,8,16,1950-08-16,52,42,Drizzle,0.02,0,14-15,high,
1950,8,17,1950-08-17,53,42,Rain and Drizzle,0.001,0,14-15,high,
1950,8,18,1950-08-18,51,39,Rain and Drizzle,0.3,0,14-15,medium,
1950,8,19,1950-08-19,50.4,47.7,Rain and Drizzle,0.03,0,14-15,medium,Min unusually close to Max
1950,8,20,1950-08-20,48,40,Drizzle,0.001,0,14-15,high,
1950,8,21,1950-08-21,51,40,Rain,0.12,0,14-15,medium,
1950,8,22,1950-08-22,53,42,Rain,0.001,0,14-15,high,
1950,8,23,1950-08-23,52,43,Rain and Drizzle,0.001,0,14-15,high,
1950,8,24,1950-08-24,50.4,44,Rain,0.3,0,14-15,medium,
1950,8,25,1950-08-25,52,43,Rain and Drizzle,0.001,0,14-15,high,
1950,8,26,1950-08-26,50,42,Drizzle,0.001,0,14-15,high,
1950,8,27,1950-08-27,49,40,Drizzle,0.001,0,14-15,high,
1950,8,28,1950-08-28,49,39,Rain,0.1,0,14-15,medium,
1950,8,29,1950-08-29,50.4,44.1,Rain,0.03,0,14-15,medium,
1950,8,30,1950-08-30,48,40,,,0,14-15,high,
1950,8,31,1950-08-31,48,38,Rain,0.001,0,14-15,high,
