"species","n_records","first_year","last_year","n_collectors","findable","status","wagner","years_since_last","singleton","collector_dependent","dated","iucn","sensitive","bucket","family","lifeform","locate"
"Dianella sandwicensis",3,1929,1980,2,TRUE,"indigenous","I",46,FALSE,FALSE,TRUE,"NE",FALSE,"high-value","Asphodelaceae","herb","approx"
"Digitaria violascens",1,2001,2001,1,TRUE,"alien","Nat",25,TRUE,TRUE,TRUE,"NE",FALSE,"easy-win","Poaceae","graminoid","GPS"
"Diplazium sandwichianum",2,2008,2008,2,TRUE,"endemic","E",18,FALSE,FALSE,TRUE,"NE",FALSE,"high-value","Athyriaceae","fern","GPS"
"Dodonaea viscosa",3,1967,1998,3,TRUE,"indigenous","I",28,FALSE,FALSE,TRUE,"LC",FALSE,"other","Sapindaceae","tree","GPS"
"Dryopteris fuscoatra",1,2008,2008,1,TRUE,"endemic","E",18,TRUE,TRUE,TRUE,"NE",FALSE,"high-value","Dryopteridaceae","fern","GPS"
"Dryopteris glabra",1,2008,2008,1,TRUE,"endemic","E",18,TRUE,TRUE,TRUE,"NE",FALSE,"high-value","Dryopteridaceae","fern","GPS"
"Dryopteris hawaiiensis",1,1971,1971,1,TRUE,"endemic","E",55,TRUE,TRUE,TRUE,"NE",FALSE,"high-value","Dryopteridaceae","fern","approx"
"Dryopteris wallichiana",3,1930,2008,3,TRUE,"indigenous","I",18,FALSE,FALSE,TRUE,"NE",FALSE,"other","Dryopteridaceae","fern","GPS"
"Elaphoglossum crassifolium",1,1971,1971,1,TRUE,"endemic","E",55,TRUE,TRUE,TRUE,"NE",FALSE,"high-value","Dryopteridaceae","fern","approx"
"Elaphoglossum paleaceum",4,1922,1929,1,TRUE,"indigenous","I",97,FALSE,TRUE,TRUE,"NE",FALSE,"high-value","Dryopteridaceae","fern","approx"
"Elaphoglossum wawrae",1,1931,1931,1,TRUE,"endemic","E",95,TRUE,TRUE,TRUE,"NE",FALSE,"high-value","Dryopteridaceae","fern","approx"
"Eriocapitella hupehensis",1,1980,1980,1,FALSE,,,46,TRUE,TRUE,TRUE,"NE",FALSE,"other","Ranunculaceae","herb","nominal"
"Eriocapitella japonica",1,1980,1980,1,FALSE,,,46,TRUE,TRUE,TRUE,"NE",FALSE,"other","Ranunculaceae","herb","nominal"
"Festuca bromoides",4,1980,1980,1,FALSE,,,46,FALSE,TRUE,TRUE,"NE",FALSE,"other","Poaceae","graminoid","nominal"
"Freycinetia arborea",2,1980,1980,1,FALSE,"indigenous","I",46,FALSE,TRUE,TRUE,"NE",FALSE,"high-value","Pandanaceae","tree","nominal"
"Geranium carolinianum",1,Inf,,1,TRUE,"alien","Nat",,TRUE,TRUE,FALSE,"NE",FALSE,"easy-win","Geraniaceae","herb","approx"
"Gleichenella pectinata",1,1998,1998,1,TRUE,,,28,TRUE,TRUE,TRUE,"NE",FALSE,"other","Gleicheniaceae","fern","GPS"
"Gomphocarpus physocarpus",4,1980,1980,1,TRUE,,,46,FALSE,TRUE,TRUE,"NE",FALSE,"other","Apocynaceae","shrub","approx"
"Hibiscadelphus giffardianus",5,1930,1975,2,TRUE,"endemic","E",51,FALSE,FALSE,TRUE,"CR",TRUE,"protected-hard","Malvaceae","tree","approx"
"Hibiscadelphus hualalaiensis",3,1975,1975,1,TRUE,"endemic","E",51,FALSE,TRUE,TRUE,"CR",TRUE,"protected-hard","Malvaceae","tree","approx"
"Hypochaeris radicata",1,2001,2001,1,TRUE,"alien","Nat",25,TRUE,TRUE,TRUE,"NE",FALSE,"easy-win","Asteraceae","herb","GPS"
"Ipomoea indica",1,2009,2009,0,TRUE,"indigenous","I",17,TRUE,TRUE,TRUE,"NE",FALSE,"easy-win","Convolvulaceae","herb","GPS"
"Lachnagrostis filiformis",1,2001,2001,1,TRUE,"alien","Nat",25,TRUE,TRUE,TRUE,"NE",FALSE,"easy-win","Poaceae","graminoid","GPS"
"Lepisorus thunbergianus",2,1971,2008,2,TRUE,"indigenous","I",18,FALSE,FALSE,TRUE,"NE",FALSE,"other","Polypodiaceae","fern","GPS"
"Leptecophylla tameiameiae",1,1998,1998,1,TRUE,,,28,TRUE,TRUE,TRUE,"LC",FALSE,"other","Ericaceae","tree","GPS"
"Melicope cinerea",1,1938,1938,1,TRUE,"endemic","E",88,TRUE,TRUE,TRUE,"EN",TRUE,"protected-hard","Rutaceae","tree","approx"
"Melinis minutiflora",4,1980,1980,1,FALSE,"alien","Nat",46,FALSE,TRUE,TRUE,"NE",FALSE,"other","Poaceae","graminoid","nominal"
"Melinis repens",2,1980,1980,1,FALSE,"alien","Nat",46,FALSE,TRUE,TRUE,"NE",FALSE,"other","Poaceae","graminoid","nominal"
"Metrosideros collina",1,1998,1998,1,TRUE,,,28,TRUE,TRUE,TRUE,"LC",FALSE,"other","Myrtaceae","tree","GPS"
"Metrosideros polymorpha",11,1916,2003,5,TRUE,"endemic","E",23,FALSE,FALSE,TRUE,"VU",TRUE,"protected-caution","Myrtaceae","tree","GPS"
"Microlaena stipoides",2,1980,1980,1,FALSE,"alien","Nat",46,FALSE,TRUE,TRUE,"LC",FALSE,"other","Poaceae","graminoid","nominal"
"Microlepia setosa",1,1929,1929,1,TRUE,,,97,TRUE,TRUE,TRUE,"NE",FALSE,"other","Dennstaedtiaceae","fern","approx"
"Microlepia speluncae",2,1970,1989,2,TRUE,"indigenous","I",37,FALSE,FALSE,TRUE,"NE",FALSE,"other","Dennstaedtiaceae","fern","approx"
"Microlepia strigosa",4,1971,2008,3,TRUE,"indigenous","I",18,FALSE,FALSE,TRUE,"NE",FALSE,"other","Dennstaedtiaceae","fern","GPS"
"Myoporum sandwicense",2,1998,2024,2,TRUE,"indigenous","I",2,FALSE,FALSE,TRUE,"LC",FALSE,"other","Scrophulariaceae","tree","GPS"
"Myrsine lessertiana",3,1948,2009,2,TRUE,"endemic","E",17,FALSE,FALSE,TRUE,"LC",FALSE,"high-value","Primulaceae","tree","GPS"
"Nephrolepis biserrata",1,1989,1989,1,TRUE,"indigenous","I",37,TRUE,TRUE,TRUE,"NE",FALSE,"easy-win","Nephrolepidaceae","fern","approx"
"Nephrolepis cordifolia",1,1991,1991,1,TRUE,"indigenous","I",35,TRUE,TRUE,TRUE,"NE",FALSE,"easy-win","Nephrolepidaceae","fern","GPS"
"Nephrolepis exaltata",3,1989,2008,2,TRUE,"indigenous","I",18,FALSE,FALSE,TRUE,"LC",FALSE,"other","Nephrolepidaceae","fern","GPS"
"Nephrolepis obliterata",1,1975,1975,1,FALSE,,,51,TRUE,TRUE,TRUE,"NE",FALSE,"other","Nephrolepidaceae","fern","nominal"
"Nestegis sandwicensis",3,1989,2009,1,TRUE,"endemic","E",17,FALSE,TRUE,TRUE,"VU",TRUE,"protected-caution","Oleaceae","tree","GPS"
"Nothocestrum longifolium",4,1980,1980,1,TRUE,,,46,FALSE,TRUE,TRUE,"NT",TRUE,"other","Solanaceae","tree","approx"
"Nuttallanthus canadensis",1,2001,2001,1,TRUE,"alien","Nat",25,TRUE,TRUE,TRUE,"NE",FALSE,"easy-win","Plantaginaceae","herb","GPS"
"Pellaea ternifolia",2,1922,1971,2,TRUE,"indigenous","I",55,FALSE,FALSE,TRUE,"NE",FALSE,"high-value","Pteridaceae","fern","approx"
"Peperomia cookiana",6,1929,1989,4,TRUE,"endemic","E",37,FALSE,FALSE,TRUE,"NE",FALSE,"high-value","Piperaceae","herb","approx"
"Peperomia leptostachya",2,1980,1980,1,FALSE,,,46,FALSE,TRUE,TRUE,"NE",FALSE,"other","Piperaceae","herb","nominal"
"Peperomia tetraphylla",1,1930,1930,1,TRUE,"indigenous","I",96,TRUE,TRUE,TRUE,"NE",FALSE,"high-value","Piperaceae","herb","approx"
"Perrottetia sandwicensis",1,1948,1948,1,FALSE,"endemic","E",78,TRUE,TRUE,TRUE,"LC",FALSE,"high-value","Dipentodontaceae","tree","nominal"
"Physalis peruviana",2,1980,1980,1,FALSE,"alien","Nat",46,FALSE,TRUE,TRUE,"LC",FALSE,"other","Solanaceae","herb","nominal"
"Pipturus albidus",8,1948,1989,4,TRUE,"endemic","E",37,FALSE,FALSE,TRUE,"LC",FALSE,"high-value","Urticaceae","tree","approx"
"Pisonia sandwicensis",1,2009,2009,0,TRUE,"endemic","E",17,TRUE,TRUE,TRUE,"LC",FALSE,"high-value","Nyctaginaceae","tree","GPS"
"Pittosporum hosmeri",2,1999,1999,1,TRUE,"endemic","E",27,FALSE,TRUE,TRUE,"VU",TRUE,"protected-caution","Pittosporaceae","tree","GPS"
"Pityrogramma calomelanos",1,1971,1971,1,TRUE,"alien","Nat",55,TRUE,TRUE,TRUE,"NE",FALSE,"easy-win","Pteridaceae","fern","approx"
"Psychotria hawaiiensis",3,1911,2009,1,TRUE,"endemic","E",17,FALSE,TRUE,TRUE,"NT",TRUE,"protected-caution","Rubiaceae","tree","GPS"
"Pteridium aquilinum",2,1929,2001,2,TRUE,"indigenous","I",25,FALSE,FALSE,TRUE,"NE",FALSE,"other","Dennstaedtiaceae","fern","GPS"
"Pteris cretica",2,1971,1975,2,TRUE,"indigenous","I",51,FALSE,FALSE,TRUE,"NE",FALSE,"high-value","Pteridaceae","fern","approx"
"Pyracantha angustifolia",1,1979,1979,1,FALSE,,,47,TRUE,TRUE,TRUE,"LC",FALSE,"other","Rosaceae","shrub","nominal"
"Pyracantha koidzumii",3,1979,1979,1,FALSE,"alien","Nat",47,FALSE,TRUE,TRUE,"EN",TRUE,"other","Rosaceae","shrub","nominal"
"Sadleria pallida",1,1929,1929,1,TRUE,,,97,TRUE,TRUE,TRUE,"NE",FALSE,"other","Blechnaceae","fern","approx"
"Sapindus oahuensis",1,1998,1998,1,TRUE,"endemic","E",28,TRUE,TRUE,TRUE,"VU",TRUE,"protected-caution","Sapindaceae","tree","GPS"
"Sapindus saponaria",4,1915,2009,2,TRUE,"indigenous","I",17,FALSE,FALSE,TRUE,"LC",FALSE,"other","Sapindaceae","tree","GPS"
"Schizachyrium condensatum",1,2001,2001,1,TRUE,"alien","Nat",25,TRUE,TRUE,TRUE,"NE",FALSE,"easy-win","Poaceae","graminoid","GPS"
"Schizachyrium microstachyum",1,2001,2001,1,TRUE,"alien","Nat",25,TRUE,TRUE,TRUE,"NE",FALSE,"easy-win","Poaceae","graminoid","GPS"
"Setaria parviflora",2,1980,1980,1,FALSE,"alien","Nat",46,FALSE,TRUE,TRUE,"LC",FALSE,"other","Poaceae","graminoid","nominal"
"Solanum pseudocapsicum",1,Inf,,1,TRUE,"alien","Nat",,TRUE,TRUE,FALSE,"NE",FALSE,"easy-win","Solanaceae","shrub","approx"
"Sophora chrysophylla",3,1929,2002,3,TRUE,"endemic","E",24,FALSE,FALSE,TRUE,"LC",FALSE,"high-value","Fabaceae","tree","GPS"
"Sporobolus indicus",1,2001,2001,1,TRUE,"alien","Nat",25,TRUE,TRUE,TRUE,"LC",FALSE,"easy-win","Poaceae","graminoid","GPS"
"Stachytarpheta cayennensis",5,1980,1980,2,TRUE,,,46,FALSE,FALSE,TRUE,"NE",FALSE,"other","Verbenaceae","herb","approx"
"Stenogyne rotundifolia",1,1975,1975,1,FALSE,"endemic","E",51,TRUE,TRUE,TRUE,"NE",FALSE,"high-value","Lamiaceae","herb","nominal"
"Stenogyne rugosa",2,1977,1977,1,TRUE,"endemic","E",49,FALSE,TRUE,TRUE,"NE",FALSE,"high-value","Lamiaceae","herb","approx"
"Stenogyne scrophularioides",2,1980,1980,1,FALSE,"endemic","E",46,FALSE,TRUE,TRUE,"NE",FALSE,"high-value","Lamiaceae","herb","nominal"
"Stenotaphrum secundatum",2,1980,1980,1,FALSE,"alien","Nat",46,FALSE,TRUE,TRUE,"LC",FALSE,"other","Poaceae","graminoid","nominal"
"Vaccinium reticulatum",1,2001,2001,1,TRUE,"endemic","E",25,TRUE,TRUE,TRUE,"NE",FALSE,"high-value","Ericaceae","shrub","GPS"
"Wikstroemia sandwicensis",5,1980,1980,1,FALSE,"endemic","E",46,FALSE,TRUE,TRUE,"VU",TRUE,"protected-caution","Thymelaeaceae","shrub","nominal"
"Zanthoxylum dipetalum",1,2009,2009,1,TRUE,"endemic","E",17,TRUE,TRUE,TRUE,"VU",TRUE,"protected-caution","Rutaceae","tree","GPS"
