"key","scientificName","recordedBy","recordNumber","year","eventDate","stateProvince","locality","verbatimLocality","decimalLatitude","decimalLongitude","coordinateUncertaintyInMeters","elevation","verbatimElevation","habitat","occurrenceRemarks","fieldNotes","dynamicProperties","reproductiveCondition","associatedTaxa","identifiedBy","dateIdentified","typeStatus","preparations","institutionCode","collectionCode"
"4520736122","Metrosideros polymorpha Gaudich.","John Dawson",NA,1997,"1997-12-08","Hawaii","Oahu, Koolau Rge. [Range]",NA,21.450114,-157.899886,NA,450,NA,NA,NA,"[Map co-ordinates are derived, and only approximate.]",NA,NA,NA,NA,NA,NA,NA,"NMNZ","WELT"
"4520736123","Metrosideros polymorpha var. pumila (A.Heller) Skottsb.","John Dawson",NA,1997,"1997-12-07","Hawaii","Kauai [Kaua'i Island], Alakai [Alaka'i] Swamp.",NA,22.083731,-159.563713,NA,1200,NA,NA,NA,"[Map co-ordinates are derived, and only approximate.]",NA,NA,NA,NA,NA,NA,NA,"NMNZ","WELT"
"4520736124","Metrosideros polymorpha var. macrophylla (Rock) H.St.John","John Dawson",NA,1997,"1997-12-05","Hawaii","Stainback Hwy [Highway].",NA,19.581,-155.17,NA,800,NA,NA,NA,"[Map co-ordinates are derived, and only approximate.]",NA,NA,NA,NA,NA,NA,NA,"NMNZ","WELT"
"4520736125","Metrosideros tremuloides (A.Heller) Rock","John Dawson",NA,1997,"1997-12-08","Hawaii","Oahu, Koolau Rge. [Range]",NA,21.450114,-157.899885,NA,650,NA,NA,NA,"[Map co-ordinates are derived, and only approximate.]",NA,NA,NA,NA,NA,NA,NA,"NMNZ","WELT"
"4520736135","Metrosideros waialealae (Rock) Rock","John Dawson",NA,1997,"1997-12-07","Hawaii","Kauai [Kaua'i Island], Near road below top lookout Kokee [Koke'e] Park.",NA,22.147344,-159.631606,NA,1250,NA,NA,NA,"[Map co-ordinates are derived, and only approximate.]",NA,NA,NA,NA,NA,NA,NA,"NMNZ","WELT"
"4520736927","Metrosideros polymorpha var. pumila (A.Heller) Skottsb.","John Dawson",NA,1997,"1997-12-07","Hawaii","Kauai [Kaua'i Island], Alakai [Alaka'i] Swamp.",NA,22.083731,-159.563713,NA,1200,NA,NA,NA,"[Map co-ordinates are derived, and only approximate.]",NA,NA,NA,NA,NA,NA,NA,"NMNZ","WELT"
"4520736928","Metrosideros polymorpha var. macrophylla (Rock) H.St.John","John Dawson",NA,1997,"1997-12-05","Hawaii","Stainback Hwy [Highway].",NA,19.581,-155.17,NA,800,NA,NA,NA,"[Map co-ordinates are derived, and only approximate.]",NA,NA,NA,NA,NA,NA,NA,"NMNZ","WELT"
"4520736929","Metrosideros polymorpha var. pumila (A.Heller) Skottsb.","John Dawson",NA,1997,"1997-12-03","Hawaii","Kilauea [Island], Bird Park [Kipuka Puaulu].",NA,19.446198,-155.304108,NA,1300,NA,NA,NA,"[Map co-ordinates are derived, and only approximate.] | On 1855 [Lava] flow.",NA,NA,NA,NA,NA,NA,NA,"NMNZ","WELT"
"4520736930","Metrosideros waialealae (Rock) Rock","John Dawson",NA,1997,"1997-12-07","Hawaii","Kauai [Kaua'i Island], Near road below top lookout Kokee [Koke'e] Park.",NA,22.147344,-159.631606,NA,1250,NA,NA,NA,"[Map co-ordinates are derived, and only approximate.]",NA,NA,NA,NA,NA,NA,NA,"NMNZ","WELT"
"4520736933","Metrosideros tremuloides (A.Heller) Rock","John Dawson",NA,1997,"1997-12-08","Hawaii","Oahu, Koolau Rge. [Range]",NA,21.450114,-157.899886,NA,450,NA,NA,NA,"[Map co-ordinates are derived, and only approximate.]",NA,NA,NA,NA,NA,NA,NA,"NMNZ","WELT"
"4520736934","Metrosideros polymorpha var. polymorpha","John Dawson",NA,1997,"1997-12-05","Hawaii","Stainback Hwy [Highway].",NA,19.581,-155.17,NA,800,NA,NA,NA,"[Map co-ordinates are derived, and only approximate.]",NA,NA,NA,NA,NA,NA,NA,"NMNZ","WELT"
"4520736940","Metrosideros polymorpha Gaudich.","John Dawson",NA,1997,"1997-12-08","Hawaii","Oahu, Koolau Rge. [Range]",NA,21.450114,-157.899885,NA,600,NA,NA,NA,"[Map co-ordinates are derived, and only approximate.]",NA,NA,NA,NA,NA,NA,NA,"NMNZ","WELT"
"4520736945","Metrosideros Banks ex Gaertn.","John Dawson",NA,1997,"1997-12-07","Hawaii","Kauai [Kaua'i Island], Alakai [Alaka'i] Swamp.",NA,22.083731,-159.563713,NA,1200,NA,NA,NA,"[Map co-ordinates are derived, and only approximate.]",NA,NA,NA,"Folder placement",NA,NA,NA,"NMNZ","WELT"
"4520743736","Metrosideros polymorpha var. pumila (A.Heller) Skottsb.","John Dawson",NA,1997,"1997-12-05","Hawaii","[Hawai'i Island], Saddle [The Saddle Road].",NA,19.689466,-155.469933,NA,2000,NA,NA,NA,"[Map co-ordinates are derived, and only approximate.]",NA,NA,NA,NA,NA,NA,NA,"NMNZ","WELT"
"4520743737","Metrosideros polymorpha var. macrophylla (Rock) H.St.John","John Dawson",NA,1997,"1997-12-05","Hawaii","Stainback Hwy [Highway], (Prison).",NA,19.581,-155.17,NA,1200,NA,NA,NA,"[Map co-ordinates are derived, and only approximate.]",NA,NA,NA,NA,NA,NA,NA,"NMNZ","WELT"
"4520743738","Metrosideros polymorpha var. pumila (A.Heller) Skottsb.","John Dawson",NA,1997,"1997-12-03","Hawaii","Hawaii [Island], Kilaua Crater.",NA,19.414792,-155.272522,NA,1300,NA,NA,NA,"[Map co-ordinates are derived, and only approximate.] | Altitude may be derived.",NA,NA,NA,NA,NA,NA,NA,"NMNZ","WELT"
"4520743743","Metrosideros polymorpha Gaudich.","John Dawson",NA,1997,"1997-12-05","Hawaii","[Hawai'i Island], Saddle [The Saddle Road].",NA,19.689466,-155.469933,NA,2000,NA,NA,NA,"[Map co-ordinates are derived, and only approximate.]",NA,NA,NA,NA,NA,NA,NA,"NMNZ","WELT"
"4520743744","Metrosideros polymorpha var. polymorpha","John Dawson",NA,1997,"1997-12-08","Hawaii","Oahu, Koolau Rge. [Range]",NA,21.450113,-157.899885,NA,700,NA,NA,NA,"[Map co-ordinates are derived, and only approximate.]",NA,NA,NA,NA,NA,NA,NA,"NMNZ","WELT"
"4520743755","Metrosideros polymorpha var. lutea H.Mann","John Dawson",NA,1997,"1997-12-07","Hawaii","Kauai [Kaua'i Island], near Alakai [Alaka'i] Swamp.",NA,22.083731,-159.563713,NA,1200,NA,NA,NA,"[Map co-ordinates are derived, and only approximate.]",NA,NA,NA,NA,NA,NA,NA,"NMNZ","WELT"
"4520849911","Metrosideros polymorpha var. polymorpha","John Dawson",NA,1997,"1997-12-05","Hawaii","[Hawai'i Island], Saddle [The Saddle Road].",NA,19.689466,-155.469933,NA,2000,NA,NA,NA,"[Map co-ordinates are derived, and only approximate.]",NA,NA,NA,"John Dawson",NA,NA,NA,"NMNZ","WELT"
"4520850285","Metrosideros polymorpha var. pumila (A.Heller) Skottsb.","John Dawson",NA,1997,"1997-12-05","Hawaii","[Hawai'i Island], Saddle [The Saddle Road].",NA,19.689466,-155.469933,NA,2000,NA,NA,NA,"[Map co-ordinates are derived, and only approximate.]",NA,NA,NA,NA,NA,NA,NA,"NMNZ","WELT"
"4520850286","Metrosideros polymorpha var. pumila (A.Heller) Skottsb.","John Dawson",NA,1997,"1997-12-05","Hawaii","Stainback Hwy [Highway].",NA,19.581,-155.17,NA,800,NA,NA,NA,"[Map co-ordinates are derived, and only approximate.]",NA,NA,NA,NA,NA,NA,NA,"NMNZ","WELT"
"4520850287","Metrosideros polymorpha var. dieteri J.W.Dawson & Stemmerm.","John Dawson",NA,1997,"1997-12-07","Hawaii","Kauai [Kaua'i Island], near Alakai [Alaka'i] Swamp.",NA,22.083731,-159.563713,NA,1200,NA,NA,NA,"[Map co-ordinates are derived, and only approximate.]",NA,NA,NA,NA,NA,NA,NA,"NMNZ","WELT"
"4520850291","Metrosideros polymorpha var. polymorpha","John Dawson",NA,1997,"1997-12-03","Hawaii","Kilauea [Island], Bird Park [Kipuka Puaulu].",NA,19.446198,-155.304108,NA,1300,NA,NA,NA,"[Map co-ordinates are derived, and only approximate.] | On 1855 [Lava] flow.",NA,NA,NA,NA,NA,NA,NA,"NMNZ","WELT"
"4520850292","Metrosideros polymorpha var. macrophylla (Rock) H.St.John","John Dawson",NA,1997,"1997-12-05","Hawaii","Stainback Hwy [Highway], (Prison).",NA,19.581,-155.17,NA,1200,NA,NA,NA,"[Map co-ordinates are derived, and only approximate.]",NA,NA,NA,NA,NA,NA,NA,"NMNZ","WELT"
"4520850298","Metrosideros macropus Hook. & Arn.","John Dawson",NA,1997,"1997-12-08","Hawaii","Oahu, Koolau Rge. [Range]",NA,21.450114,-157.899885,NA,650,NA,NA,NA,"[Map co-ordinates are derived, and only approximate.]",NA,NA,NA,NA,NA,NA,NA,"NMNZ","WELT"
"4520858303","Metrosideros Banks ex Gaertn.","John Dawson",NA,1997,"1997-12-07","Hawaii","Kauai [Kaua'i Island], Alakai [Alaka'i] Swamp.",NA,22.083731,-159.563713,NA,1200,NA,NA,NA,"[Map co-ordinates are derived, and only approximate.]",NA,NA,NA,"Folder placement",NA,NA,NA,"NMNZ","WELT"
"4520863142","Metrosideros tremuloides (A.Heller) Rock","John Dawson",NA,1997,"1997-12-08","Hawaii","Oahu, Koolau Rge. [Range]",NA,21.450114,-157.899886,NA,450,NA,NA,NA,"[Map co-ordinates are derived, and only approximate.]",NA,NA,NA,NA,NA,NA,NA,"NMNZ","WELT"
"4520863143","Metrosideros macropus Hook. & Arn.","John Dawson",NA,1997,"1997-12-08","Hawaii","Oahu, Koolau Rge. [Range]",NA,21.450114,-157.899885,NA,650,NA,NA,NA,"[Map co-ordinates are derived, and only approximate.]",NA,NA,NA,NA,NA,NA,NA,"NMNZ","WELT"
"4520864158","Metrosideros waialealae (Rock) Rock","John Dawson",NA,1997,"1997-12-07","Hawaii","Kauai [Kaua'i Island], Near road below top lookout Kokee [Koke'e] Park.",NA,22.147344,-159.631606,NA,1250,NA,NA,NA,"[Map co-ordinates are derived, and only approximate.]",NA,NA,NA,NA,NA,NA,NA,"NMNZ","WELT"
"4520864173","Metrosideros polymorpha var. polymorpha","John Dawson",NA,1997,"1997-12-03","Hawaii","Hawaii [Island], Kilaua Crater.",NA,19.414792,-155.272522,NA,1300,NA,NA,NA,"[Map co-ordinates are derived, and only approximate.] | Altitude may be derived.",NA,NA,NA,NA,NA,NA,NA,"NMNZ","WELT"
"4520871327","Metrosideros tremuloides (A.Heller) Rock","John Dawson",NA,1997,"1997-12-08","Hawaii","Oahu, Koolau Rge. [Range]",NA,21.450114,-157.899885,NA,650,NA,NA,NA,"[Map co-ordinates are derived, and only approximate.]",NA,NA,NA,NA,NA,NA,NA,"NMNZ","WELT"
"4520877413","Metrosideros polymorpha var. dieteri J.W.Dawson & Stemmerm.","John Dawson",NA,1997,"1997-12-07","Hawaii","Kauai [Kaua'i Island], near Alakai [Alaka'i] Swamp.",NA,22.083731,-159.563713,NA,1200,NA,NA,NA,"[Map co-ordinates are derived, and only approximate.]",NA,NA,NA,NA,NA,NA,NA,"NMNZ","WELT"
"4520877582","Metrosideros polymorpha var. polymorpha","John Dawson",NA,1997,"1997-12-08","Hawaii","Oahu, Koolau Rge. [Range]",NA,21.450113,-157.899885,NA,700,NA,NA,NA,"[Map co-ordinates are derived, and only approximate.]",NA,NA,NA,NA,NA,NA,NA,"NMNZ","WELT"
"4520877583","Metrosideros polymorpha var. lutea H.Mann","John Dawson",NA,1997,"1997-12-08","Hawaii","Oahu, Koolau Rge. [Range]",NA,21.450114,-157.899886,NA,450,NA,NA,NA,"[Map co-ordinates are derived, and only approximate.]",NA,NA,NA,"nom. rev.","1979-01-01T00:00:00",NA,NA,"NMNZ","WELT"
"4520877586","Metrosideros polymorpha var. pumila (A.Heller) Skottsb.","John Dawson",NA,1997,"1997-12-07","Hawaii","Kauai [Kaua'i Island], Alakai [Alaka'i] Swamp.",NA,22.083731,-159.563713,NA,1200,NA,NA,NA,"[Map co-ordinates are derived, and only approximate.]",NA,NA,NA,NA,NA,NA,NA,"NMNZ","WELT"
"4520925238","Metrosideros polymorpha var. macrophylla (Rock) H.St.John","John Dawson",NA,1997,"1997-12-03","Hawaii","Hawaii [Island], Kilaua Crater.",NA,19.414792,-155.272522,NA,1300,NA,NA,NA,"[Map co-ordinates are derived, and only approximate.] | Altitude may be derived.",NA,NA,NA,NA,NA,NA,NA,"NMNZ","WELT"
"4520925416","Metrosideros polymorpha var. imbricata (Rock) H.St.John","John Dawson",NA,1997,"1997-12-08","Hawaii","Oahu, Koolau Rge. [Range]",NA,21.450114,-157.899885,NA,600,NA,NA,NA,"[Map co-ordinates are derived, and only approximate.]",NA,NA,NA,NA,NA,NA,NA,"NMNZ","WELT"
"3059675947","Metrosideros excelsa Sol. ex Gaertn.","G.D. Barbe; T. E. Eichlin","4473",1996,"1996-05-28","California","Edge of San Diego Bay, Tuna Lane, G Street Pier, San Diego.",NA,32.71,-117.18,500,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Standard sheet","CDA",NA
"37573358","Metrosideros polymorpha var. pseudorugosa Skottsb.","Meidell, J.S. Oppenheimer, H.L.","Collector Number: 123",1996,"1996-08-31","Hawaii","W Maui, Maui Pineapple Co. Collection made at transect station T4.18, along the Puu Kukui Trail","[Hawaiian Islands; U.S.A.; Maui; Maui Pineapple Co..  Collection made at transect station T4.18, along the Pu'u Kukui Trail, West Maui, Hawaii.]",NA,NA,NA,NA,NA,NA,"0.5 m in height, occuring with components consistent with those of an Ohia/Kuolohia/Oreobolus Mixed Bog.",NA,NA,NA,NA,"D.R.Herbst; S.H.Sohmer; W.L.Wagner","1997-01-01T00:00:00",NA,NA,"BPBM","BISH"
"1318564104","Metrosideros polymorpha Gaudich.","D. H. Lorence, M. Endress & P. Endress","7800",1996,"1996-08-12","Hawaii","Hanalei District, Na Pali-Kona Forest Reserve, just W of Pu'uokila Lookout on S rim of Kalalau Valley",NA,22.15,-159.633,NA,1190,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"US","US"
"5956235974","Metrosideros polymorpha var. pseudorugosa Skottsb.","Meidell, J.S.; Oppenheimer, H.L.","123",1996,"1996-08-31","Hawaii","W Maui, Maui Pineapple Co. Collection made at transect station T4.18, along the Puu Kukui Trail",NA,NA,NA,NA,NA,NA,NA,"Styphelia tameiameia, Carex montis-eeka, Deschampsia nubigena, Dicanthelium cynodon, Plantago pachyphylla, Rynchospora chinensis subsp. speciformis, Oreobolus furcatus, Biola maviensis, Geranum humile, Sadleria pallida. Specimens are located with in the Pu u Kukui Watershed Management Area and are currently not subject to any overt threats.; 0.5 m in height, occuring with components consistent with those of an Ohia/Kuolohia/Oreobolus Mixed Bog.",NA,NA,NA,NA,"Herbst, D.R.; Sohmer, S.H.; Wagner, W.L.",NA,"NotAType",NA,"BISH",NA
"37573073","Metrosideros tremuloides (A.Heller) Knuth","Annable, C.R. Van Sickle, G.; Van Sickle, H.","Collector Number: 3188",1996,"1996-12-10","Hawaii","Round Top-Tantalus Forest Reserve. Manoa Cliff Trail","[Hawaiian Islands; U.S.A.; O`ahu; Hawai`i; Round Top-Tantalus Forest Reserve.  Manoa Cliff Trail.]",21.3167,-157.8,NA,NA,NA,"Lowland mesic forest.","Tree to 4m; leaf petioles red.",NA,NA,NA,NA,"C.Imada","1997-01-01T00:00:00",NA,NA,"BPBM","BISH"
"1319128633","Metrosideros polymorpha Gaudich.","C. R. Annable","3204",1996,"1996-12-18","Hawaii","Na Pali-Kona Forest Reserve, Unit D 2 km E of Kalalau Lookout",NA,22.15,-159.63,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Imada, C.",NA,NA,NA,"US","US"
"1322626288","Metrosideros macropus Hook. & Arn.","K. R. Wood, J. Lau & S. Gon","5878",1996,"1996-12-11","Hawaii","Koolau mountains, south about .5 miles from summit of Schofield-Waikane trail, follow Lehua Makanoi ridge drop in upper drainage",NA,NA,NA,NA,610,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"US","US"
"1930133046","Metrosideros polymorpha Gaudich.","C. R. Annable","3204",1996,"1996-12-18","Hawaii","Na Pali-Kona Forest Reserve, Unit D, 2km E of Kalalau Lookout",NA,22.15,-159.63,NA,NA,NA,"Mesic forest","Received 1/2/97",NA,NA,NA,NA,"C. T. Imada","1997-01-01T00:00:00",NA,"sheet","NY","NY"
"1930719211","Metrosideros tremuloides (A.Heller) Knuth","C. R. Annable","3188",1996,"1996-12-10","Hawaii","Round Top-Tantalus Forest Reserve, Manoa Cliff Trail",NA,21.32,-157.8,NA,NA,NA,"Lowland mesic forest","Received 1/2/97",NA,NA,NA,NA,"C. T. Imada","1997-01-01T00:00:00",NA,"sheet","NY","NY"
"5956512092","Metrosideros tremuloides (A.Heller) Knuth","Annable, C.R.; Van Sickle, G.; Van Sickle, H.","3188",1996,"1996-12-10","Hawaii","Round Top-Tantalus Forest Reserve. Manoa Cliff Trail",NA,21.316667,-157.8,NA,NA,NA,"Lowland mesic forest.","Tree to 4m; leaf petioles red.",NA,NA,NA,NA,"Imada, C.",NA,"NotAType",NA,"BISH",NA
